Country	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
Bangladesh	onshore	NA	onshore total	oil	NA	NA	NA	1	7.103914631	21.09627532	48.39003578	23.52357926	14.20362267	45.08485737	112.047276	51.73762336	0.789238925	2.627839008	7.003556244	3.099279889
Bangladesh	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	4000.97866	14061.00109	30975.03545	15392.99439	15.68151992	61.06940405	166.8771998	72.0042288
Bangladesh	offshore	NA	offshore total	oil	NA	NA	NA	1	4.316823366	11.78930695	26.96253687	13.17636389	8.398999653	25.26923804	62.43919557	28.97726243	0.463066689	1.47939655	3.894087928	1.736977307
Bangladesh	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	4775.799088	16560.12057	36246.6335	18107.14312	17.3589006	65.15015541	175.215058	76.37090328
Bangladesh	NA	NA	total	oil	NA	NA	NA	1	11.420738	32.88558227	75.35257265	36.69994315	22.60262232	70.35409541	174.4864716	80.71488579	1.252305615	4.107235558	10.89764417	4.836257196
Bangladesh	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	8776.777748	30621.12166	67221.66895	33500.13751	33.04042052	126.2195595	342.0922578	148.3751321
Barbados	onshore	NA	onshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
Barbados	onshore	NA	onshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
Barbados	offshore	NA	offshore total	oil	NA	NA	NA	0.5	0	118.0253125	4568.827989	1151.666887	0	249.6675723	10198.22453	2536.934753	0	13.93795813	624.4881828	152.5180046
Barbados	offshore	NA	offshore total	gas	NA	NA	NA	0.5	NA	NA	NA	NA	0	679.158432	24958.4826	6430.587961	0	29.03872278	1126.386349	283.7337418
Barbados	NA	NA	total	oil	NA	NA	NA	0.5	0	118.0253125	4568.827989	1151.666887	0	249.6675723	10198.22453	2536.934753	0	13.93795813	624.4881828	152.5180046
Barbados	NA	NA	total	gas	NA	NA	NA	0.5	NA	NA	NA	NA	0	679.158432	24958.4826	6430.587961	0	29.03872278	1126.386349	283.7337418
Benin	onshore	NA	onshore total	oil	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
Benin	onshore	NA	onshore total	gas	NA	NA	NA	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
Benin	offshore	NA	offshore total	oil	NA	NA	NA	1	15.74875733	63.04329003	148.1871876	70.31403464	64.26464385	269.2074058	689.1799424	309.4347317	2.012812472	8.669557102	23.75344309	10.24839115
