Province Code	Province Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)
2033	Sinai Basin	Oil	94	11	105	0	5	5	0	0	0	94	12	106	0	0	0	0	105	5	0	106	100	100	NA	100	11	5	0	12
2043	Sirte Basin	Oil	13986	23087	37072	5479	32288	37767	30	98	129	14929	28566	43496	6854	14984	648	10000	43927	52752	777	53496	84	72	17	81	29941	47272	746	38566
2047	Hamra Basin	Oil	0	0	0	0	0	0	0	0	0	0	0	0	89	241	18	148	89	241	18	148	0	0	0	0	89	241	18	148
2048	Pelagian Basin	Oil	521	1719	2239	43	17167	17210	0	66	67	528	4646	5174	1268	5556	130	2323	3507	22766	196	7497	64	76	34	69	2986	22724	196	6970
2054	Trias/Ghadames Basin	Oil	7410	7793	15203	647	24352	24999	71	949	1020	7589	12800	20389	6477	17493	1174	10566	21680	42492	2193	30955	70	59	46	66	14270	41845	2122	23366
2056	Illizi Basin	Oil	2286	1384	3670	750	44311	45061	74	824	898	2485	9593	12078	2947	28138	900	8536	6617	73199	1798	20614	55	62	50	59	4331	72449	1724	18129
2058	Grand Erg/Ahnet Basin	Gas	106	388	494	4980	109053	114034	846	4189	5035	1783	22752	24534	599	8664	407	2449	1093	122697	5441	26984	45	93	93	91	986	117717	4595	25201
2061	Ougarta Uplift	Oil	0	41	41	0	6	6	0	0	0	0	42	42	0	0	0	0	41	6	0	42	100	100	NA	100	41	6	0	42
2071	Red Sea Basin	Oil	6280	3580	9861	849	8668	9517	24	273	297	6445	5298	11744	5187	60012	3344	18533	15048	69529	3641	30277	66	14	8	39	8767	68680	3618	23832
2074	Khleisha Uplift	Oil	250	407	657	0	210	210	0	0	0	250	442	692	105	2580	203	739	762	2790	203	1430	86	8	0	48	512	2790	203	1180
2075	Euphrates/Mardin	Oil	282	312	594	66	1668	1734	0	18	18	293	607	900	749	749	19	893	1343	2483	36	1793	44	70	48	50	1061	2418	36	1500
2089	Anah Graben	Oil	75	80	155	0	0	0	0	0	0	75	80	155	26	39	2	35	181	39	2	190	85	0	0	81	106	39	2	115
3115	Junggar Basin	Oil	952	5858	6810	501	2082	2583	0	0	0	1035	6206	7241	563	1296	63	843	7373	3879	64	8084	92	67	0	90	6422	3379	64	7049
3127	Bohaiwan Basin	Oil	10415	14139	24553	2987	12685	15672	1	86	88	10914	16339	27253	4412	8514	417	6248	28965	24186	505	33501	85	65	17	81	18550	21199	503	22587
3128	Ordos Basin	Oil	81	602	683	13	5597	5610	0	0	0	83	1535	1618	138	20	1	143	821	5630	1	1761	83	100	0	92	740	5617	1	1678
3142	Sichuan Basin	Gas	47	63	110	6236	6290	12526	0	0	0	1086	1112	2198	27	10311	456	2202	138	22837	456	4400	80	55	0	50	91	16601	456	3313
3144	Songliao Basin	Oil	12399	3176	15575	3	1739	1743	0	0	0	12399	3466	15865	1026	5706	212	2189	16601	7449	212	18054	94	23	0	88	4203	7446	212	5655
3154	Tarim Basin	Oil	45	658	704	208	5572	5780	0	189	189	80	1776	1856	5948	59939	3312	19250	6652	65719	3501	21106	11	9	5	9	6606	65511	3501	21026
3161	Yunnan Guizhou Hubei Fold Belt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3701	Baram Delta/Brunei-Sabah Basin	Oil	3953	2945	6898	9188	27012	36200	8	172	180	5492	7619	13111	3390	23226	1174	8434	10288	59426	1353	21545	67	61	13	61	6335	50238	1346	16054
3702	Greater Sarawak Basin	Gas	168	649	817	3731	78433	82164	56	323	379	846	14044	14890	631	19247	462	4301	1448	101411	841	19191	56	81	45	78	1281	97680	785	18345
3703	Malay Basin	Oil	1518	2090	3608	492	47657	48149	9	313	322	1609	10346	11955	1228	27465	514	6319	4836	75614	836	18274	75	64	39	65	3318	75122	827	16665
3808	Central Sumatra Basin	Oil	8349	4868	13217	910	2956	3866	0	11	11	8500	5372	13872	899	4078	84	1663	14117	7944	94	15535	94	49	11	89	5768	7034	94	7034
