Country	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
Argentina	offshore	60590101	Magallanes Extensional Structures	gas	24.5	BCFG	6	1	NA	NA	NA	NA	743.7682046	1988.962947	3629.728807	2060.680756	17.64298834	48.6843357	95.13481701	51.50724565
Argentina	onshore	60590102	Andean Fold Belt Structures	oil	10	MMBO	4	1	5.019934172	18.65138297	44.99411233	21.03447655	10.21134214	39.76229696	104.1855694	46.24017172	0.076882427	0.308413412	0.87304249	0.37042086
Argentina	onshore	60590102	Andean Fold Belt Structures	gas	10	BCFG	24	1	NA	NA	NA	NA	95.64078374	306.3129858	584.0545085	319.2519778	2.287480856	7.486021932	15.3016357	7.980973274
Argentina	offshore	60630101	Malvinas Extensional Structures	oil	100	MMBO	5	1	160.9241273	900.1221335	2327.112696	1030.90738	602.7731734	3472.962913	9783.152934	4122.531255	24.9123377	148.5069714	448.0576141	181.4501703
Argentina	offshore	60630101	Malvinas Extensional Structures	gas	100	BCFG	30	1	NA	NA	NA	NA	1071.941307	6292.144547	16406.91295	7204.67827	25.85330721	154.0247225	422.0321536	180.15822
Australia	onshore	39100101	Barnett	oil	40	MMBO	3	1	18.13270308	51.08301633	110.0276263	55.96372348	36.79687599	108.7755148	256.9344459	123.0863119	2.041328546	6.351959486	16.18009974	7.396731967
Australia	onshore	39100101	Barnett	gas	40	BCFG	18	1	NA	NA	NA	NA	108.566777	308.2764417	662.0909713	337.3634037	4.412150491	13.14968193	30.86544967	14.8292629
Australia	offshore	39100101	Barnett	oil	60	MMBO	3	1	27.19905462	76.62452449	165.0414395	83.94558523	55.19531399	163.1632722	385.4016688	184.6294678	3.06199282	9.52793923	24.27014962	11.09509795
Australia	offshore	39100101	Barnett	gas	60	BCFG	18	1	NA	NA	NA	NA	162.8501655	462.4146626	993.1364569	506.0451055	6.618225737	19.7245229	46.29817451	22.24389435
Australia	offshore	39100201	Petrel	gas	100	BCFG	60	1	NA	NA	NA	NA	2283.944605	7671.064107	16497.57057	8327.698638	93.35798316	328.2968042	770.1339778	366.5524069
Australia	offshore	39100202	Vulcan Graben	gas	100	BCFG	60	0.9	NA	NA	NA	NA	0	2253.729886	6742.159957	2667.588029	0	96.16335744	308.7127947	117.3545009
Australia	offshore	39100301	Malita	oil	95	MMBO	10	1	320.5858141	982.3742904	2213.810459	1088.8738	651.5644366	2101.984176	5183.147104	2400.417538	36.57150731	123.0090301	323.0244796	144.0946804
Australia	offshore	39100301	Malita	gas	50	BCFG	60	1	NA	NA	NA	NA	1187.461131	3921.005405	9250.043996	4409.624602	48.47750184	168.1625005	429.0155832	194.2660021
Australia	offshore	39130101	Late Jurassic/Early Cretaceous-Mesozoic	oil	100	MMBO	15	1	228.993281	855.1134302	2605.912517	1055.468058	669.9470587	2535.667985	7930.41525	3162.625951	37.80762292	148.2703939	487.5217871	189.7884102
Australia	offshore	39130101	Late Jurassic/Early Cretaceous-Mesozoic	gas	100	BCFG	90	1	NA	NA	NA	NA	4176.394097	14578.6403	37730.80847	16930.13598	173.299642	622.9219458	1717.298251	744.5430591
Australia	onshore	39300101	Gippsland	oil	1	MMBO	2	1	1.026100251	2.883751726	5.829184299	3.095168515	2.65991288	7.85114707	17.47143848	8.66606492	0.147803219	0.45893882	1.097576986	0.519950297
Australia	onshore	39300101	Gippsland	gas	1	BCFG	12	1	NA	NA	NA	NA	9.765586057	42.61047279	103.7323278	47.91486125	0.57188876	2.522893889	6.378312554	2.871079218
Australia	offshore	39300101	Gippsland	oil	99	MMBO	2	1	101.5839249	285.4914209	577.0892456	306.421683	263.3313751	777.2635599	1729.67241	857.9404271	14.63251869	45.43494314	108.6601217	51.47507936
Australia	offshore	39300101	Gippsland	gas	99	BCFG	12	1	NA	NA	NA	NA	966.7930197	4218.436806	10269.50045	4743.571264	56.61698728	249.766495	631.4529428	284.2368425
Australia	onshore	39480101	Dingo-Mungaroo/Barrow	oil	5	MMBO	1	1	41.04911244	110.8321116	189.3593811	112.4538824	119.4418689	326.7911285	592.4610549	337.2341369	5.66501964	15.96378195	30.94108605	16.82832145
Australia	onshore	39480101	Dingo-Mungaroo/Barrow	gas	5	BCFG	6	1	NA	NA	NA	NA	890.7561276	2516.612383	3973.587709	2481.774122	52.05205033	147.8936583	250.1107892	148.8732121
Australia	offshore	39480101	Dingo-Mungaroo/Barrow	oil	95	MMBO	1	1	779.9331364	2105.810121	3597.828241	2136.623766	2269.395509	6209.031442	11256.76004	6407.448601	107.6353732	303.311857	587.8806349	319.7381075
Australia	offshore	39480101	Dingo-Mungaroo/Barrow	gas	95	BCFG	6	1	NA	NA	NA	NA	16924.36642	47815.63528	75498.16646	47153.70832	988.9889562	2809.979508	4752.104994	2828.59103
Australia	onshore	39480201	Locker-Mungaroo/Barrow	oil	1	MMBO	15	1	0.412617012	1.188624413	2.646367473	1.318169005	0.149093149	0.477394813	1.237462752	0.554875273	0.008301784	0.027874639	0.077079997	0.033272823
Australia	onshore	39480201	Locker-Mungaroo/Barrow	gas	1	BCFG	90	1	NA	NA	NA	NA	13.96119937	69.30990594	196.2341723	82.7525551	0.583406681	2.968301009	9.029767905	3.645421398
Australia	offshore	39480201	Locker-Mungaroo/Barrow	oil	99	MMBO	15	1	40.84908421	117.6738169	261.9903798	130.4987315	14.76022176	47.2620865	122.5088124	54.93265205	0.821876622	2.759589241	7.630919686	3.294009496
Australia	offshore	39480201	Locker-Mungaroo/Barrow	gas	99	BCFG	90	1	NA	NA	NA	NA	1382.158738	6861.680688	19427.18306	8192.502955	57.75726141	293.8617999	893.9470225	360.8967184
Australia/Indonesia Zone of Cooperation	offshore	39100301	Malita	oil	5	MMBO	10	1	16.87293758	51.70391002	116.51634	57.30914738	34.29286508	110.6307461	272.797216	126.3377651	1.924816174	6.474159479	17.0012884	7.583930548
Australia/Indonesia Zone of Cooperation	offshore	39100301	Malita	gas	50	BCFG	60	1	NA	NA	NA	NA	1187.461131	3921.005405	9250.043996	4409.624602	48.47750184	168.1625005	429.0155832	194.2660021
Austria	onshore	40470101	Foreland Basin	gas	3	BCFG	6	1	NA	NA	NA	NA	25.55970325	63.86719536	132.6075529	69.61610403	0.185924519	0.497958248	1.132605591	0.557178143
Azerbaijan	offshore	11090101	Foldbelt-Foothills	oil	8	MMBO	7	1	87.98062396	160.0228835	273.2105467	167.5291381	214.8684181	403.9930193	720.9690061	427.9731615	12.71318465	24.15224739	43.75424357	25.67734922
Azerbaijan	offshore	11090103	Foreland Slope and Foredeep	oil	15	MMBO	7	1	35.88354771	63.93691159	112.2371783	67.80507059	50.65701766	95.00196814	174.6602026	101.6645436	2.997038645	5.684550614	10.59762354	6.101888562
Azerbaijan	offshore	11090103	Foreland Slope and Foredeep	gas	15	BCFG	42	1	NA	NA	NA	NA	74.29461851	156.9927657	302.7586097	168.906194	1.434777302	3.176992843	6.512149524	3.471930759
Azerbaijan	offshore	11090303	Central Caspian Offshore	oil	20	MMBO	10	0.72	0	71.94375528	142.2810908	66.12448057	0	138.603045	304.5363622	132.1429857	0	8.270820054	18.42677759	7.93049754
Azerbaijan	offshore	11090303	Central Caspian Offshore	gas	20	BCFG	60	0.72	NA	NA	NA	NA	0	890.1739053	1593.887048	782.1868894	0	5.615767812	14.54648385	5.772801441
Azerbaijan	onshore	11120101	Apsheron-Pribalkhan Zone	oil	3.75	MMBO	5	1	33.43450347	106.4689468	228.6326562	115.9005008	37.08463752	124.0389738	292.6967294	139.1409021	2.077938583	7.235089418	18.40961668	8.3378099
Azerbaijan	offshore	11120101	Apsheron-Pribalkhan Zone	oil	71.25	MMBO	5	1	635.255566	2022.90999	4344.020469	2202.109514	704.6081129	2356.740502	5561.237859	2643.67714	39.48083307	137.4666989	349.7827169	158.4183881
Azerbaijan	offshore	11120101	Apsheron-Pribalkhan Zone	gas	40	BCFG	30	1	NA	NA	NA	NA	384.4924683	1441.761778	3811.73976	1678.86332	7.196309471	28.13201222	78.82635283	33.63280588
Azerbaijan	onshore	11120102	Lower Kura Depression and Adjacent Shelf	oil	4.4	MMBO	5	1	15.11256123	52.05743111	110.9715514	56.10939825	42.50250691	151.5268556	352.625835	168.5546091	2.393971191	8.872508654	22.05042365	10.1133055
Azerbaijan	onshore	11120102	Lower Kura Depression and Adjacent Shelf	gas	4.4	BCFG	30	1	NA	NA	NA	NA	335.9679799	1167.207968	2408.22564	1243.452965	11.22450491	39.91727975	87.94296003	43.51777664
Azerbaijan	offshore	11120102	Lower Kura Depression and Adjacent Shelf	oil	83.6	MMBO	5	1	287.1386634	989.0911911	2108.459476	1066.078567	807.5476313	2879.010256	6699.890864	3202.537574	45.48545264	168.5776644	418.9580494	192.1528046
Azerbaijan	offshore	11120102	Lower Kura Depression and Adjacent Shelf	gas	83.6	BCFG	30	1	NA	NA	NA	NA	6383.391618	22176.95138	45756.28715	23625.60634	213.2655933	758.4283153	1670.916241	826.8377561
Azerbaijan	offshore	11120104	Central Offshore	oil	40	MMBO	10	1	614.2301088	2387.504582	5072.673944	2563.99043	2328.404341	9256.786633	21479.46514	10255.75592	130.4843275	538.7874778	1351.307255	614.3747267
Azerbaijan	offshore	11120104	Central Offshore	gas	40	BCFG	60	1	NA	NA	NA	NA	6227.617107	21667.09679	43286.63877	22878.66455	256.1903957	927.3531827	2018.99961	1006.217329
Bahrain	onshore	20210102	North Gulf Salt Basin Structural Gas	gas	3.5	BCFG	120	1	NA	NA	NA	NA	2185.420969	5114.782037	9329.205001	5353.31885	87.19795448	218.7942569	440.2451879	235.4284173
Bahrain	offshore	20210102	North Gulf Salt Basin Structural Gas	gas	6.5	BCFG	120	1	NA	NA	NA	NA	4058.638943	9498.880925	17325.66643	9941.877863	161.9390583	406.3321913	817.598206	437.2242035
Bahrain	onshore	20210202	Salt-Involved Structural Oil	oil	0.2	MMBO	20	1	11.39160092	28.84069891	52.43526324	29.97740006	13.38281949	34.28392534	63.94316065	35.98180589	0.493726872	1.333601664	2.751426105	1.438758788
Bahrain	offshore	20210202	Salt-Involved Structural Oil	oil	0.8	MMBO	20	1	45.56640369	115.3627957	209.7410529	119.9096003	53.53127798	137.1357013	255.7726426	143.9272236	1.97490749	5.334406657	11.00570442	5.755035152
Bahrain	onshore	20300101	Cretaceous Reservoirs	oil	0.05	MMBO	10	1	11.86803764	35.34947074	69.89262964	37.45534482	11.01088875	34.25996702	74.70168125	37.45822672	0.260718614	0.845430561	1.927731469	0.936595165
Bahrain	onshore	20300101	Cretaceous Reservoirs	gas	0.05	BCFG	60	1	NA	NA	NA	NA	5.491176729	13.67305632	26.70169552	14.59063108	0.220974608	0.584486827	1.258940149	0.641675983
Bahrain	offshore	20300101	Cretaceous Reservoirs	oil	0.95	MMBO	10	1	225.4927151	671.6399441	1327.959963	711.6515515	209.2068862	650.9393734	1419.331944	711.7063077	4.953653662	16.06318065	36.62689792	17.79530813
Bahrain	offshore	20300101	Cretaceous Reservoirs	gas	0.95	BCFG	60	1	NA	NA	NA	NA	104.3323579	259.7880701	507.3322149	277.2219905	4.198517559	11.1052497	23.91986282	12.19184368
Bangladesh	onshore	80470201	Western Shelf and Slope	oil	20	MMBO	2	1	3.545041157	11.40164053	26.56530196	12.7461497	7.233437333	24.29446984	61.43624111	28.02741952	0.405259041	1.411063829	3.844443837	1.678358737
Bangladesh	onshore	80470201	Western Shelf and Slope	gas	25	BCFG	12	1	NA	NA	NA	NA	207.0071613	977.0119861	2495.310726	1118.129125	1.910771135	9.619099983	29.25502278	11.80395641
Bangladesh	onshore	80470301	Central Basin	oil	32	MMBO	2	1	1.515899785	4.189344311	10.2756061	4.797868667	2.857628634	8.957701019	23.65632135	10.5341172	0.15817361	0.525242743	1.46995104	0.632112309
Bangladesh	onshore	80470301	Central Basin	gas	32	BCFG	12	1	NA	NA	NA	NA	1963.655179	6952.262948	15533.81756	7664.555719	7.176303628	27.39970269	75.18576215	32.34126178
