Country	Field Type	Country Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
Tunisia	gas	1	NA	NA	NA	NA	849.96004	3329.419481	7926.818145	3730.411655	44.81010547	178.7348345	463.8804555	206.7238181
Turkey	oil	1	237.3607528	706.9894148	1397.852593	749.1068963	220.217775	685.1993405	1494.033625	749.1645344	5.214372276	16.90861121	38.55462939	18.73190329
Turkey	gas	1	NA	NA	NA	NA	0	0	0	0	0	0	0	0
Turkmenistan	oil	1	1777.691531	6392.156238	13354.87469	6836.12215	6189.155918	23164.62102	52710.23077	25501.14485	346.6508307	1350.800899	3318.125545	1529.132275
Turkmenistan	gas	1	NA	NA	NA	NA	49973.27538	169640.2196	357585.0025	182190.7294	1333.014301	4741.501252	10873.75717	5245.167412
Ukraine	oil	1	160.2180576	1239.619319	2826.608984	1339.596116	329.670595	2505.881428	6224.974305	2801.264746	18.32290506	146.0231902	390.5874741	167.9884787
Ukraine	gas	1	NA	NA	NA	NA	7865.09932	23934.29885	43706.4975	24735.0374	176.7114021	708.2498623	1512.686004	760.6984744
United Arab Emirates	oil	1	2157.351612	7006.368546	15525.39362	7694.996565	3069.758108	11294.79729	28244.43428	12925.18745	170.9228	655.2668027	1757.156512	769.4324677
United Arab Emirates	gas	1	NA	NA	NA	NA	8344.749761	29033.70869	63270.4398	31598.69974	390.2242966	1423.546488	3386.423376	1595.309333
United Kingdom	oil	1	2045.4523	5787.079311	12361.38478	6328.965508	1670.159795	5003.5418	11757.53633	5643.787468	92.60283694	292.5951518	740.9196372	338.3775884
United Kingdom	gas	1	NA	NA	NA	NA	4911.038565	16138.41746	35751.19649	17732.75971	135.2443369	412.3422305	948.609398	460.8540506
Uruguay	oil	0.9	0	127.3973387	359.1819745	146.8884055	0	271.0452219	830.2574261	323.3297655	0	15.68836341	51.35197768	19.3906354
Uruguay	gas	0.9	NA	NA	NA	NA	0	711.0750932	1959.330084	816.9566138	0	30.27917183	90.54602367	35.97262474
Uzbekistan	oil	1	43.40864987	128.4207454	276.3244107	140.1173298	229.9552703	666.6575895	1514.658278	742.5673078	12.6703429	39.11045799	95.62981872	44.52734703
Uzbekistan	gas	1	NA	NA	NA	NA	3361.993221	13268.86142	29316.7789	14295.04937	61.44347023	349.5778404	900.3941999	392.2016995
Venezuela	oil	1	5172.704242	18011.79628	40168.95104	19663.71618	7561.414232	29547.20922	73302.89295	33399.0434	420.6280002	1718.259131	4632.187168	2003.335452
Venezuela	gas	1	NA	NA	NA	NA	12713.68919	61257.70838	147269.2783	67840.90906	441.3338865	2254.60449	5896.40986	2575.302683
Vietnam	oil	1	12.26575814	39.98289552	89.09916589	44.13094684	54.72484435	186.5315085	453.4549518	211.6761154	0.715882452	2.540295816	6.653010274	2.959669065
Vietnam	gas	1	NA	NA	NA	NA	170.3581497	527.1075358	1073.960003	565.086631	3.175924105	10.23501361	23.00467742	11.30713863
Western Sahara	oil	1	1.394609128	10.76886207	38.67183433	14.14721807	2.939189296	22.94720229	87.09584489	31.09337395	0.168199146	1.338689088	5.348903695	1.863412977
Western Sahara	gas	1	NA	NA	NA	NA	7.456142438	37.29226875	114.8720567	45.94319312	0.311450702	1.595411469	5.243638734	2.023949839
Yemen	oil	1	1112.465967	3155.637939	6001.216626	3306.575946	4054.354379	11729.50449	24273.31001	12633.33102	225.967706	682.2078302	1545.284112	756.7084338
Yemen	gas	1	NA	NA	NA	NA	3380.391654	8918.635016	16447.41973	9267.568856	160.5060367	471.4577293	992.1089776	508.4927865
