Country	Field Type	Country Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
Netherlands	gas	1	NA	NA	NA	NA	2409.959481	7619.630547	16429.74763	8304.050103	40.84212137	124.8956571	293.0629213	140.803952
Nigeria	oil	1	16102.6755	37129.88672	60684.34086	37615.67113	26499.51293	65350.19809	124973.863	69062.86128	833.7273997	2135.427525	4310.627387	2293.585251
Nigeria	gas	1	NA	NA	NA	NA	26324.23568	53396.70395	84103.17862	54145.7271	1583.895349	3223.835361	5149.523655	3278.357783
Norway	oil	1	3424.086065	11642.03456	26329.27585	12881.38851	5622.275679	22380.92196	57142.17396	25762.93849	387.8472595	1644.233146	4531.228985	1942.231539
Norway	gas	1	NA	NA	NA	NA	13619.72794	134096.3539	373945.7752	157272.6321	763.7123001	6581.126056	19392.83677	7910.673229
Oman	oil	1	837.6347931	3067.642752	7346.215615	3451.183532	1675.561078	6235.754283	15742.49148	7154.252355	93.54342645	352.8956339	920.8290215	410.1013298
Oman	gas	1	NA	NA	NA	NA	7323.487225	24539.40663	52480.97895	26592.19122	344.3278555	1217.556571	2811.124502	1351.218767
Pakistan	oil	1	90.14266447	239.5818778	484.1657746	257.675484	182.9115495	512.5171592	1128.360704	566.0458973	10.13742207	29.96224308	71.60349584	33.98038677
Pakistan	gas	1	NA	NA	NA	NA	7257.892496	24110.2049	61283.39215	28039.579	239.6772961	823.7819939	2229.240446	981.6782754
Paraguay	oil	1	53.02770282	645.0631062	2689.543872	902.4543641	130.40766	1604.06028	7197.830996	2342.636014	7.343377336	91.96339426	447.099617	140.4811069
Paraguay	gas	1	NA	NA	NA	NA	151.1368967	1576.486972	6230.007107	2163.759799	5.377020256	56.16113602	238.4293632	80.02777211
Peru	oil	1	1001.530931	3044.961719	6420.037796	3315.759801	839.1921522	2879.406347	6815.015567	3268.137033	42.72357405	154.7995605	396.9369663	180.9632137
Peru	gas	1	NA	NA	NA	NA	566.4134681	2260.53011	7397.952316	3069.032317	23.18556143	96.35279833	340.1755897	135.0029494
Poland	oil	1	65.11892521	189.3583387	398.8655188	206.1684919	174.8178836	536.6692412	1229.583081	599.3324574	9.693861782	31.27532375	77.69969641	35.90406344
Poland	gas	1	NA	NA	NA	NA	745.8470699	2041.451739	4272.479837	2222.379868	7.209282224	22.0619008	51.38776468	24.76324236
Qatar	oil	1	1309.988188	3460.774517	6439.123654	3616.902215	1734.728457	4798.820254	9492.206389	5110.833187	73.01024096	216.9135364	477.5775636	238.3792355
Qatar	gas	1	NA	NA	NA	NA	14037.212	34239.74674	63817.58921	35989.01429	561.3442508	1464.565379	3006.514224	1582.782165
Romania	oil	1	381.9851196	986.6763577	2035.676688	1072.978895	368.3022484	1041.491749	2377.760491	1165.840225	10.41535358	31.10489365	76.6020231	35.69146743
Romania	gas	1	NA	NA	NA	NA	1036.388836	3812.83532	8914.670616	4250.510471	22.29058864	80.68516228	200.7099316	92.10823794
Russia	oil	1	25033.60787	71645.58021	148059.7771	77381.78372	47993.97402	157983.4008	368598.09	176666.3081	2673.488785	9216.830066	23194.23438	10594.5355
Russia	gas	1	NA	NA	NA	NA	262336.3087	906871.6737	1998086.375	992068.8013	6754.634344	24340.06631	58244.50421	27365.71741
Saudi Arabia	oil	1	29392.7792	82244.36877	160905.7638	87092.90889	34115.91628	110218.1606	252760.6252	122607.9816	1652.846313	5741.730598	14527.73799	6606.786701
Saudi Arabia	gas	1	NA	NA	NA	NA	178047.4074	530771.0391	1027443.315	558388.1774	12842.44159	39325.61308	81727.3622	42264.84771
Senegal	oil	1	4.958610234	38.28928735	137.4998554	50.30121981	10.45045083	81.59005258	309.6741152	110.5542185	0.598041408	4.759783424	19.01832425	6.625468362
Senegal	gas	1	NA	NA	NA	NA	26.51072867	132.5947333	408.4339793	163.3535755	1.107380272	5.672574112	18.64404883	7.196266093
Serbia and Montenegro	oil	1	22.55048529	46.98826914	81.61798572	49.05049273	19.24603389	46.65052692	102.5099223	51.88805269	0.701121073	1.823464408	4.316530134	2.077298045
Serbia and Montenegro	gas	1	NA	NA	NA	NA	92.46215408	211.1173188	368.3532116	218.7612815	2.307058263	6.055643699	12.49218845	6.559423978
Slovakia	oil	1	1.80072826	8.497410576	22.26276907	9.793928042	2.015651183	9.856231957	27.90416999	11.7400445	0.056721575	0.286910878	0.875152373	0.352261219
Slovakia	gas	1	NA	NA	NA	NA	64.13060648	219.2140865	512.6460733	244.7357463	1.419506249	5.217986422	13.35530801	6.013002405
Slovenia	oil	1	0	0	0	0	0	0	0	0	0	0	0	0
Slovenia	gas	1	NA	NA	NA	NA	4.996994464	9.700536529	17.59009403	10.3016597	0.119956461	0.280732822	0.593313525	0.308726555
