Province Code	Province Name	Field Type	Province Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
2011	South Oman Salt Basin	oil	1	28.6830444	88.96683736	188.4793431	96.569307	83.10102479	264.206901	583.8216506	289.9367767	6.046283532	19.53255267	44.74217413	21.73558214
2011	South Oman Salt Basin	gas	1	NA	NA	NA	NA	264.2493017	887.0700312	1822.34075	945.8027425	9.029214913	30.66103942	65.24833621	33.09379008
2013	Huqf-Haushi Uplift	oil	1	8.825552122	27.3744115	57.99364403	29.71363292	25.56954609	81.29443107	179.637431	89.21131592	1.860394933	6.010016206	13.76682281	6.687871427
2013	Huqf-Haushi Uplift	gas	1	NA	NA	NA	NA	88.08310055	295.6900104	607.4469165	315.2675808	3.009738304	10.22034647	21.7494454	11.03126336
2014	Ghaba Salt Basin	oil	1	110.3194015	342.1801437	724.9205504	371.4204115	319.6193261	1016.180388	2245.467887	1115.141449	23.25493666	75.12520257	172.0852851	83.59839284
2014	Ghaba Salt Basin	gas	1	NA	NA	NA	NA	1101.038757	3696.12513	7593.086457	3940.84476	37.6217288	127.7543309	271.8680676	137.890792
2015	Central Oman Platform	oil	1	110.4250811	380.6937129	885.2999587	424.4180812	195.9183555	660.7928935	1563.087608	741.259344	10.00872385	33.65961587	79.86936812	37.83179361
2015	Central Oman Platform	gas	1	NA	NA	NA	NA	765.2817718	2317.362859	4812.823981	2497.273696	26.04206846	80.48793332	172.8618741	87.64631661
2016	Fahud Salt Basin	oil	1	239.1192925	902.1234641	2202.933398	1020.248304	302.1407613	1087.86669	2713.291458	1241.838054	10.8287481	39.86631646	100.523919	45.62377022
2016	Fahud Salt Basin	gas	1	NA	NA	NA	NA	1176.644719	3329.428152	7084.774514	3636.403364	40.13852028	117.0617224	258.6417639	129.2474516
2017	Oman Mountains	oil	1	3.725838443	19.14551553	51.50498342	22.28689823	1.796324885	9.405008686	26.47373701	11.16203684	0.089104367	0.468782306	1.333109202	0.558191469
2017	Oman Mountains	gas	1	NA	NA	NA	NA	1.607412634	7.801861468	29.48995641	10.61450644	0.079638109	0.388481099	1.487700836	0.531151769
2019	Rub Al Khali Basin	oil	1	8675.760477	32520.1584	78411.08969	36647.16203	15111.6368	65011.94239	177630.6588	76746.11446	832.0639192	3742.546608	10945.23654	4534.73366
2019	Rub Al Khali Basin	gas	1	NA	NA	NA	NA	91331.89794	322141.5863	690919.9462	348965.9767	6288.901199	23085.58876	54254.61675	25733.5929
2020	Interior Homocline-Central Arch	oil	1	6335.167313	16012.48713	28113.1204	16494.97077	8011.291529	20881.52599	38935.15153	21842.05266	429.2921855	1177.412105	2428.584461	1270.624214
2020	Interior Homocline-Central Arch	gas	1	NA	NA	NA	NA	38353.62383	98593.28188	167471.5882	100231.7452	3011.568871	7804.447653	13723.99883	8020.85284
2021	Greater Ghawar Uplift	oil	1	5504.970608	13503.39549	23225.14744	13829.75309	4539.665958	11556.64989	21322.611	12069.0312	181.1520668	482.1972276	976.2231828	517.5499404
2021	Greater Ghawar Uplift	gas	1	NA	NA	NA	NA	86833.24931	207204.8672	369120.4922	214900.3253	4384.843522	11032.40279	20902.40314	11632.00137
2022	Qatar Arch	oil	1	1779.431936	4792.249068	9038.38667	5025.920366	2217.181813	6473.703752	13444.76682	6989.064455	100.1345583	315.351341	728.7840116	351.9271416
2022	Qatar Arch	gas	1	NA	NA	NA	NA	3081.769267	9725.775437	19867.57684	10395.56824	180.2325724	579.7814333	1264.473708	632.4857083
2023	Widyan Basin-Interior Platform	oil	1	7984.437712	20708.30069	36026.28427	21215.05689	6710.468105	18242.84032	34658.39955	19146.05735	314.5630389	905.7993693	1901.124065	980.4513672
2023	Widyan Basin-Interior Platform	gas	1	NA	NA	NA	NA	27031.69313	73698.30077	129996.6441	75600.26689	2079.1679	5671.533643	10281.43761	5868.274857
2024	Mesopotamian Foredeep Basin	oil	1	20347.69406	58050.81742	111993.4972	61133.99984	20023.7468	59291.30674	124364.2993	64116.85928	591.8129719	1810.906231	4010.293284	1990.695463
2024	Mesopotamian Foredeep Basin	gas	1	NA	NA	NA	NA	6759.924604	18846.6055	34923.86454	19605.20319	365.5306535	1021.257679	1990.905993	1080.164024
2025	Hail-Ga'Ara Arch	oil	1	15.08479973	48.76479522	102.8140666	52.64481284	22.03388733	72.30304902	158.8665135	78.96111509	1.229290155	4.220253365	10.03625386	4.741178388
2025	Hail-Ga'Ara Arch	gas	1	NA	NA	NA	NA	397.7560509	1172.552291	2133.751045	1211.244271	31.31184571	93.11070091	173.7905338	96.85511555
2028	Rutbah Uplift	oil	1	15.08479973	48.76479522	102.8140666	52.64481284	22.03388733	72.30304902	158.8665135	78.96111509	1.229290155	4.220253365	10.03625386	4.741178388
2028	Rutbah Uplift	gas	1	NA	NA	NA	NA	397.7560509	1172.552291	2133.751045	1211.244271	31.31184571	93.11070091	173.7905338	96.85511555
2029	Wadi-Surhan Basin	oil	1	0	0	0	0	0	0	0	0	0	0	0	0
2029	Wadi-Surhan Basin	gas	1	NA	NA	NA	NA	2585.414331	7621.589891	13869.38179	7873.087762	203.5269971	605.2195559	1129.63847	629.5582511
2030	Zagros Fold Belt	oil	1	13939.22685	42607.01824	86167.81634	45458.54614	18990.41878	61661.8607	138136.5635	67970.03581	811.0211326	2785.729841	6801.756299	3163.68094
2030	Zagros Fold Belt	gas	1	NA	NA	NA	NA	44582.86152	135046.1233	272700.8738	144037.5117	1814.605138	5761.931804	12740.23175	6335.548629
2031	Zagros Thrust Zone	oil	1	11.43941598	36.68761641	67.03936986	37.72837639	16.64042626	54.17384524	104.3227361	56.60762823	0.931578895	3.147588975	6.68712566	3.396849432
2031	Zagros Thrust Zone	gas	1	NA	NA	NA	NA	272.7681024	888.3634466	1616.189519	909.6512706	11.24096466	37.75203436	76.2638798	39.98956948
2043	Sirte Basin	oil	1	2600.333863	6148.043	12351.98629	6854.448463	1683.324404	4318.255257	15678.8648	6618.233441	99.91846684	258.1294034	945.8861121	397.3168767
2043	Sirte Basin	gas	1	NA	NA	NA	NA	2467.253288	5618.185114	18739.97189	8366.040726	70.78486347	166.1495007	575.502394	250.874782
2047	Hamra Basin	oil	1	19.79816924	79.85151942	190.4012321	89.2295272	25.47615177	105.8398309	274.6560552	122.2004039	0.959648525	4.120138522	11.51437732	4.887887831
2047	Hamra Basin	gas	1	NA	NA	NA	NA	28.06876447	106.2146368	249.3720177	118.4949576	2.959846836	11.51028091	29.59516132	13.28139666
2048	Pelagian Basin	oil	1	310.4081177	1141.22116	2632.673006	1267.582582	554.2655354	2106.042744	5293.939104	2411.877292	14.14747693	56.02011475	150.5328487	65.64000102
2048	Pelagian Basin	gas	1	NA	NA	NA	NA	717.7984183	2818.260983	6634.620676	3144.220928	14.33147576	56.00188634	141.2914298	64.10372342
2054	Trias/Ghadames Basin	oil	1	1442.633366	5787.718789	13826.20596	6477.015724	1765.445513	7434.645282	19461.63909	8607.79406	66.38186802	289.0199072	814.7451501	344.7357221
2054	Trias/Ghadames Basin	gas	1	NA	NA	NA	NA	1967.037201	7891.619944	19075.87344	8885.137769	177.1150521	714.7992241	1867.752501	828.850415
2056	Illizi Basin	oil	1	630.3017963	2639.411016	6283.713397	2947.155597	2692.087391	11599.24584	30137.34884	13414.69428	56.51335675	250.5834496	702.1935525	298.0304031
2056	Illizi Basin	gas	1	NA	NA	NA	NA	5849.532331	14396.50411	24652.67579	14723.37133	217.7891557	567.6753957	1098.606321	601.4835587
2058	Grand Erg/Ahnet Basin	oil	1	174.0291594	521.1817073	1249.649943	598.6569231	195.7117059	625.3425061	2032.586476	827.7922745	9.505644188	32.27161958	117.4684796	44.9491059
2058	Grand Erg/Ahnet Basin	gas	1	NA	NA	NA	NA	1822.709437	6293.293956	18301.74608	7835.851147	78.01742219	283.542863	879.375886	361.8040792
2071	Red Sea Basin	oil	1	1548.049149	4964.225254	9770.571883	5187.003515	2465.781467	9115.763235	20765.59124	9965.219946	139.4336922	510.4906614	1182.514789	563.9891979
2071	Red Sea Basin	gas	1	NA	NA	NA	NA	12832.6536	48377.98159	94983.34203	50046.83936	727.0857785	2655.907562	5334.447405	2780.317161
2074	Khleisha Uplift	oil	1	30.16959946	97.52959044	205.6281332	105.2896257	44.06777465	144.606098	317.733027	157.9222302	2.45858031	8.44050673	20.07250773	9.482356777
2074	Khleisha Uplift	gas	1	NA	NA	NA	NA	795.5121018	2345.104582	4267.502089	2422.488542	62.62369142	186.2214018	347.5810677	193.7102311
2075	Euphrates/Mardin	oil	1	237.3607528	706.9894148	1397.852593	749.1068963	220.217775	685.1993405	1494.033625	749.1645344	5.214372276	16.90861121	38.55462939	18.73190329
2075	Euphrates/Mardin	gas	1	NA	NA	NA	NA	0	0	0	0	0	0	0	0
2089	Anah Graben	oil	1	7.542399864	24.38239761	51.40703329	26.32240642	11.01694366	36.15152451	79.43325674	39.48055754	0.614645077	2.110126683	5.018126932	2.370589194
2089	Anah Graben	gas	1	NA	NA	NA	NA	0	0	0	0	0	0	0	0
3115	Junggar Basin	oil	1	141.8739685	507.2825697	1171.12618	563.403171	91.73353799	345.0948237	864.7963165	394.4606442	5.133446133	20.12823009	54.32804937	23.6518213
3115	Junggar Basin	gas	1	NA	NA	NA	NA	272.3574492	844.5251659	1722.767689	901.7037083	11.09024507	36.1171687	80.42555857	39.69804241
3127	Bohaiwan Basin	oil	1	1470.149736	4039.210671	8553.20291	4411.731954	824.9525915	2349.729943	5412.999407	2633.084039	45.33299251	137.4546283	340.7709578	157.9647014
3127	Bohaiwan Basin	gas	1	NA	NA	NA	NA	1350.889422	5211.447147	12690.42753	5880.774643	55.62692931	222.9972446	587.5953625	259.2286897
3128	Ordos Basin	oil	1	41.6189309	127.853994	266.2103087	138.3317458	5.187715489	17.59169224	43.03475934	19.99127878	0.290412837	1.02679511	2.706198347	1.200357809
3128	Ordos Basin	gas	1	NA	NA	NA	NA	0	0	0	0	0	0	0	0
3142	Sichuan Basin	oil	1	7.698931101	25.22384148	53.99846111	27.45260864	35.86369814	122.7299541	287.5371915	137.411188	1.993393541	7.160820966	18.2676903	8.256817385
3142	Sichuan Basin	gas	1	NA	NA	NA	NA	2345.20428	9342.403951	21130.91979	10173.63284	95.79363032	398.7407499	983.7249725	447.4835999
3144	Songliao Basin	oil	1	523.5321789	1015.867878	1560.486383	1026.265176	154.6714143	326.0015871	570.0893716	339.5663976	8.370819797	19.01858989	36.97205002	20.3588083
3144	Songliao Basin	gas	1	NA	NA	NA	NA	2350.578769	5065.86031	9345.213931	5366.561301	74.09277061	175.3922131	362.7685633	191.3599812
3154	Tarim Basin	oil	1	1139.175446	5266.097879	12966.37269	5948.046703	3142.975639	14898.43027	40090.86118	17384.04962	218.7439018	1066.454402	3082.965005	1284.478374
3154	Tarim Basin	gas	1	NA	NA	NA	NA	10276.39364	38188.45257	88912.52085	42555.14079	449.7299076	1760.404314	4491.416884	2027.151278
3701	Baram Delta/Brunei-Sabah Basin	oil	1	1062.353202	3182.917071	6372.907919	3389.81154	2750.362397	8662.178795	19055.6283	9497.193121	152.2274636	505.4278106	1209.367432	569.7745098
3701	Baram Delta/Brunei-Sabah Basin	gas	1	NA	NA	NA	NA	3752.765042	12498.63351	27878.46998	13728.85326	151.9072572	533.5038179	1293.083314	603.8229433
3702	Greater Sarawak Basin	oil	1	149.3904771	558.3469863	1356.60286	631.3148884	308.4095941	1188.144165	3141.167437	1387.054247	17.33780698	69.28232792	197.4878677	83.32170916
3702	Greater Sarawak Basin	gas	1	NA	NA	NA	NA	6045.91087	16703.15067	33254.5083	17859.93096	115.9083406	343.5602298	761.045297	378.5897623
3703	Malay Basin	oil	1	341.1475349	1112.777262	2480.441972	1227.82722	1521.511932	5190.35105	12618.13069	5890.865314	19.89512218	70.70909902	185.1762462	82.39268956
3703	Malay Basin	gas	1	NA	NA	NA	NA	6407.250168	20050.75425	41418.06433	21573.79301	119.3492265	389.2582112	885.3263631	431.5918662
3808	Central Sumatra Basin	oil	1	376.5186588	876.3385845	1494.293193	899.4044275	207.9713888	508.7050999	970.6233859	539.0015385	4.524813535	11.90719845	24.94211493	12.92337794
3808	Central Sumatra Basin	gas	1	NA	NA	NA	NA	1537.821693	3309.46675	6299.093049	3539.181208	27.74622494	64.76003213	135.0570489	70.83535943
3817	Kutei Basin	oil	1	1385.96581	4790.461217	10066.89499	5144.955855	3625.027617	12966.09431	29921.72358	14393.82762	202.5869444	754.059313	1885.338503	862.9708212
3817	Kutei Basin	gas	1	NA	NA	NA	NA	14643.78289	46796.40723	97973.20496	50363.03356	350.3754564	1143.909238	2554.684853	1259.171899
3822	North Sumatra Basin	oil	1	54.03040835	189.575977	446.9315017	213.13821	99.18951391	368.8769852	940.2492519	426.3197457	5.394046999	21.51909321	59.10585395	25.57372361
3822	North Sumatra Basin	gas	1	NA	NA	NA	NA	3943.952627	13815.14363	27909.88361	14696.18571	34.14560449	135.9505809	336.8602237	154.9683079
3824	Northwest Java Basin	oil	1	250.8344509	617.8934352	1192.599179	657.5870078	241.120556	611.1172298	1288.224735	668.7486108	10.10183131	26.83565144	61.434251	30.14681362
3824	Northwest Java Basin	gas	1	NA	NA	NA	NA	2769.021344	6426.511692	11961.60356	6784.514913	25.19677243	68.85400584	159.6722442	77.43743505
3828	South Sumatra Basin	oil	1	204.7701221	441.5925754	824.4656567	468.8169559	368.0047656	861.6944084	1759.169124	938.4857674	20.05160229	50.35683432	112.4781848	56.3181594
3828	South Sumatra Basin	gas	1	NA	NA	NA	NA	6582.731925	16651.50102	30239.8313	17311.76933	58.75105813	164.0773311	371.8338371	182.813884
3910	Bonaparte Gulf Basin	oil	1	382.7905094	1161.785741	2605.395865	1286.092256	777.8494916	2484.553709	6098.280435	2834.471083	43.59964485	145.3630883	380.4760174	170.1704409
3910	Bonaparte Gulf Basin	gas	1	NA	NA	NA	NA	4930.283809	18537.49591	43395.04595	20657.94438	201.3433631	793.6593675	2014.041563	909.5120692
3913	Browse Basin	oil	1	228.993281	855.1134302	2605.912517	1055.468058	669.9470587	2535.667985	7930.41525	3162.625951	37.80762292	148.2703939	487.5217871	189.7884102
3913	Browse Basin	gas	1	NA	NA	NA	NA	4176.394097	14578.6403	37730.80847	16930.13598	173.299642	622.9219458	1717.298251	744.5430591
3930	Gippsland Basin	oil	1	102.6100251	288.3751726	582.9184299	309.5168515	265.991288	785.114707	1747.143848	866.606492	14.7803219	45.89388196	109.7576986	51.99502965
3930	Gippsland Basin	gas	1	NA	NA	NA	NA	976.5586057	4261.047279	10373.23278	4791.486125	57.18887604	252.2893889	637.8312554	287.1079218
3948	Northwest Shelf	oil	1	862.2439501	2335.504674	4051.824369	2380.894549	2403.746693	6583.562051	11972.96737	6800.170266	114.1305712	322.0631028	626.5297206	339.8937113
3948	Northwest Shelf	gas	1	NA	NA	NA	NA	19211.24249	57263.23826	99095.1714	57910.73795	1099.381675	3254.703267	5905.192574	3342.006382
4017	Vestford-Helgeland	oil	1	1380.16169	5847.882021	13913.60799	6538.337325	3864.431457	17103.25555	44675.17643	19795.53428	290.332137	1335.788343	3745.767966	1584.625371
4017	Vestford-Helgeland	gas	1	NA	NA	NA	NA	9830.584495	123237.4367	350817.6882	145405.5862	615.5706979	6131.012895	18347.02592	7405.66733
4025	North Sea Graben	oil	1	4250.69929	11977.69494	25560.3042	13098.478	3548.28725	10603.26402	24929.9694	11967.14889	196.7260562	619.8538229	1570.774246	717.22057
4025	North Sea Graben	gas	1	NA	NA	NA	NA	8286.805191	23646.37573	50040.7484	25777.80242	337.5320453	1019.163554	2353.620917	1141.597386
4035	Northwest German Basin	oil	1	17.31346353	50.48666044	110.6969348	55.52648181	14.3113431	44.07347006	105.5994159	49.99638041	0.025566701	0.08737943	0.245893668	0.105727792
