Total Petroleum System Code	Total Petroleum System Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)	
312801	Yanchang-Yanan	Oil	81	602	683	13	7	20	0	0	0	83	603	686	138	20	1	143	821	40	1	829	83	50	0	83	740	27	1	746
312802	Taiyuan/Shanxi-Majiagou/Shihezi	NA	0	0	0	0	5590	5590	0	0	0	0	932	932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
314201	Maokou/Longtang-Jialingjiang/Maokou/Huanglong	Gas	0	0	0	5709	5364	11072	0	0	0	951	894	1846	0	6137	270	1293	0	17210	270	3139	100	64	0	59	0	11501	270	2187
314202	Daanzhai-Daanzhai/Lianggaoshan	Oil	38	71	109	50	90	140	0	0	0	46	86	132	27	137	8	59	136	278	8	191	80	51	0	69	99	227	8	145
314203	Xujiahe-Xujiahe/Shaximiao	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
314204	Cambrian/Silurian Marine Shale-Dengying/Lower Paleozoic	Gas	9	-8	1	491	859	1350	0	0	0	91	135	226	0	4036	178	850	1	5386	178	1076	100	25	0	21	-8	4895	178	985
314401	Qingshankou-Putaohua/Shaertu	Oil	12399	3171	15570	3	1594	1598	0	0	0	12399	3437	15836	1026	2494	115	1557	16596	4091	115	17393	94	39	0	91	4198	4088	115	4994
314402	Jurassic Coal-Denglouku/Nongan	Gas	0	5	5	0	145	145	0	0	0	0	29	29	0	3212	96	632	5	3357	96	661	100	4	0	4	5	3357	96	661
315401	Ordovician/Jurassic-Phanerozoic	Oil	45	658	704	208	5572	5780	0	189	189	80	1776	1856	5948	59939	3312	19250	6652	65719	3501	21106	11	9	5	9	6606	65511	3501	21026
370101	Brunei-Sabah	Oil	3953	2945	6898	9188	27012	36200	8	172	180	5492	7619	13111	3390	23226	1174	8434	10288	59426	1353	21545	67	61	13	61	6335	50238	1346	16054
370201	Sarawak Basin	Gas	168	629	797	3731	33388	37119	56	323	379	846	6517	7363	529	17284	372	3782	1327	54403	751	11145	60	68	50	66	1159	50672	695	10299
370202	East Natuna	Gas	0	20	20	0	45045	45045	0	0	0	0	7528	7528	102	1963	90	519	122	47008	90	8046	16	96	0	94	122	47008	90	8046
370301	Oligocene-Miocene Lacustrine	Oil	1459	1557	3017	454	23794	24248	9	127	136	1544	5650	7194	1127	23696	442	5518	4143	47944	578	12712	73	51	24	57	2684	47491	568	11167
370302	Miocene Coaly Strata	Gas	58	533	592	38	23863	23901	0	186	186	65	4696	4761	101	3768	72	802	693	27669	258	5563	85	86	72	86	634	27631	258	5498
380801	Brown Shale-Sihapas	Oil	8349	4868	13217	910	2956	3866	0	11	11	8500	5372	13872	899	4078	84	1663	14117	7944	94	15535	94	49	11	89	5768	7034	94	7034
381701	Kutei Basin	Oil	2195	684	2879	8711	36762	45473	44	1230	1273	3691	8040	11731	5145	64757	2122	18060	8024	110230	3396	29791	36	41	38	39	5829	101519	3352	26100
382201	Bampo-Cenozoic	Gas	496	178	674	13977	11582	25559	583	343	926	3409	2451	5860	213	15123	181	2914	887	40682	1107	8774	76	63	84	67	391	26705	524	5365
382401	Banuwati-Oligocene/Miocene	Oil	828	431	1259	233	381	614	0	0	0	867	495	1362	462	874	19	626	1722	1488	19	1988	73	41	0	68	894	1255	19	1121
382402	Jatibarang/Talang Akar-Oligocene/Miocene	Oil	727	1181	1908	794	6529	7322	45	130	175	904	2399	3303	195	6579	89	1381	2104	13901	264	4684	91	53	66	71	1377	13108	219	3780
382403	Tertiary-Parigi	NA	0	0	0	0	119	119	0	0	0	0	20	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
382404	Tertiary-Cenozoic	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
382801	Lahat/Talang Akar-Cenozoic	Oil	1842	587	2429	3125	7080	10204	4	53	56	2367	1819	4186	469	18250	239	3750	2898	28455	296	7936	84	36	19	53	1055	25330	292	5569
391001	Milligans-Carboniferous/Permian	Oil	0	15	15	0	48	48	0	0	0	0	23	23	140	1151	56	387	155	1199	56	410	10	4	0	6	155	1199	56	410
391002	Keyling/Hyland Bay-Permian	Gas	0	0	0	0	5730	5730	0	50	50	0	1005	1005	0	10995	484	2316	0	16725	534	3321	NA	34	9	30	0	16725	534	3321
391003	Jurassic/Early Cretaceous-Mesozoic	Oil	123	378	502	0	7526	7526	0	385	385	123	2018	2141	1146	11346	540	3577	1648	18872	926	5719	30	40	42	37	1524	18872	926	5595
391301	Late Jurassic/Early Cretaceous-Mesozoic	Gas	19	27	46	0	17960	17960	0	200	200	19	3221	3239	1055	20093	934	5339	1101	38053	1134	8578	4	47	18	38	1083	38053	1134	8559
393001	Latrobe	Oil	3077	784	3860	3501	6274	9775	155	546	701	3815	2375	6190	310	5658	339	1592	4170	15433	1040	7782	93	63	67	80	1093	11932	885	3967
394801	Dingo-Mungaroo/Barrow	Gas	489	660	1149	1845	46400	48245	117	875	991	913	9268	10181	2249	56380	3314	14960	3398	104626	4305	25141	34	46	23	40	2909	102780	4189	24228
394802	Locker-Mungaroo/Barrow	Gas	0	6	6	27	8075	8102	0	0	0	4	1351	1356	132	8331	368	1888	137	16432	368	3244	4	49	0	42	137	16406	368	3239
401701	Upper Jurassic Spekk	Oil	76	2585	2660	0	15662	15662	0	702	702	76	5897	5973	6538	165201	8990	43062	9199	180863	9692	49035	29	9	7	12	9123	180863	9692	48959
402501	Kimmeridgian Shales	Oil	22467	21427	43895	31053	127861	158914	510	5461	5971	28153	48198	76351	13098	37745	1859	21248	56993	196659	7830	97599	77	81	76	78	34526	165606	7320	69446
403601	Carboniferous-Rotliegend	Gas	2300	572	2872	124048	98111	222159	54	118	172	23029	17042	40071	143	25790	69	4510	3015	247948	241	44581	95	90	71	90	715	123901	187	21552
404701	Isotopically Light Gas	Gas	1	1	1	5455	5205	10660	1	2	3	911	870	1782	0	2321	19	405	1	12980	22	2187	100	82	16	81	1	7525	21	1276
404702	Mesozoic/Paleogene Composite	Oil	640	283	923	3360	2033	5393	2	3	6	1202	626	1828	344	2345	75	810	1267	7738	80	2637	73	70	7	69	627	4378	78	1435
404703	Paleozoic Composite	Oil	0	1	1	0	233	233	0	0	0	0	39	39	47	383	19	129	47	616	19	169	1	38	0	23	47	616	19	169
