Province Code	Province Name	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
1109	Middle Caspian Basin	onshore	11090103	Foreland Slope and Foredeep	gas	59.5	BCFG	42	1	NA	NA	NA	NA	294.7019868	622.7379707	1200.942485	669.9945695	5.691283296	12.60207161	25.83152644	13.77199201
1109	Middle Caspian Basin	offshore	11090103	Foreland Slope and Foredeep	oil	40.5	MMBO	7	1	96.88557881	172.6296613	303.0403813	183.0736906	136.7739477	256.505314	471.5825471	274.4942678	8.09200434	15.34828666	28.61358356	16.47509912
1109	Middle Caspian Basin	offshore	11090103	Foreland Slope and Foredeep	gas	40.5	BCFG	42	1	NA	NA	NA	NA	200.59547	423.8804675	817.4482462	456.0467238	3.873898714	8.577880677	17.58280371	9.37421305
1109	Middle Caspian Basin	onshore	11090201	South Mangyshlak (Entire)	oil	40	MMBO	3	1	121.5317676	245.8183542	448.5197902	260.5154706	150.1068088	359.0426476	821.0088105	405.7348488	5.860290899	14.31939371	33.27499273	16.2262341
1109	Middle Caspian Basin	onshore	11090201	South Mangyshlak (Entire)	gas	40	BCFG	18	1	NA	NA	NA	NA	208.4735459	466.4226021	898.815634	499.0715663	4.917158613	11.46936475	23.44279816	12.48080307
1109	Middle Caspian Basin	offshore	11090201	South Mangyshlak (Entire)	oil	60	MMBO	3	1	182.2976514	368.7275312	672.7796854	390.773206	225.1602132	538.5639714	1231.513216	608.6022733	8.790436348	21.47909056	49.91248909	24.33935115
1109	Middle Caspian Basin	offshore	11090201	South Mangyshlak (Entire)	gas	60	BCFG	18	1	NA	NA	NA	NA	312.7103188	699.6339031	1348.223451	748.6073495	7.37573792	17.20404712	35.16419724	18.72120461
1109	Middle Caspian Basin	offshore	11090301	Offshore Prikumsk Zone	oil	100	MMBO	10	0.9025	0	794.232336	1418.500636	789.0716047	0	1544.568665	3047.818315	1579.630877	0	92.23669339	184.0469433	94.78811456
1109	Middle Caspian Basin	offshore	11090301	Offshore Prikumsk Zone	gas	100	BCFG	60	0.9025	NA	NA	NA	NA	0	2215.351033	4707.545598	2330.18151	0	42.92432178	100.1733514	46.54574527
1109	Middle Caspian Basin	onshore	11090302	Onshore Stavropol-Prikumsk	oil	100	MMBO	3	1	184.7768407	277.3463618	421.4845878	287.2320035	309.553617	546.8922427	928.5819171	573.7439507	18.36434388	32.73262771	56.2765556	34.44563612
1109	Middle Caspian Basin	onshore	11090302	Onshore Stavropol-Prikumsk	gas	100	BCFG	18	1	NA	NA	NA	NA	368.2674773	567.2610192	882.0186744	588.8470769	3.124587676	5.580255217	9.658263395	5.884451226
1109	Middle Caspian Basin	offshore	11090303	Central Caspian Offshore	oil	100	MMBO	10	0.72	0	359.7187764	711.405454	330.6224029	0	693.015225	1522.681811	660.7149284	0	41.35410027	92.13388795	39.6524877
1109	Middle Caspian Basin	offshore	11090303	Central Caspian Offshore	gas	100	BCFG	60	0.72	NA	NA	NA	NA	0	4450.869526	7969.435238	3910.934447	0	28.07883906	72.73241925	28.86400721
1112	South Caspian Basin	onshore	11120101	Apsheron-Pribalkhan Zone	oil	5	MMBO	5	1	44.57933796	141.9585958	304.8435417	154.534001	49.44618336	165.3852984	390.2623059	185.5212028	2.770584777	9.64678589	24.54615557	11.11707987
1112	South Caspian Basin	onshore	11120101	Apsheron-Pribalkhan Zone	gas	3	BCFG	30	1	NA	NA	NA	NA	28.83693512	108.1321334	285.880482	125.914749	0.53972321	2.109900916	5.911976463	2.522460441
1112	South Caspian Basin	offshore	11120101	Apsheron-Pribalkhan Zone	oil	95	MMBO	5	1	847.0074213	2697.21332	5792.027291	2936.146019	939.4774839	3142.320669	7414.983812	3524.902853	52.64111076	183.2889319	466.3769559	211.2245175
1112	South Caspian Basin	offshore	11120101	Apsheron-Pribalkhan Zone	gas	97	BCFG	30	1	NA	NA	NA	NA	932.3942356	3496.272312	9243.468918	4071.243552	17.45105047	68.22012963	191.1539056	81.55955426
1112	South Caspian Basin	onshore	11120102	Lower Kura Depression and Adjacent Shelf	oil	4.4	MMBO	5	1	15.11256123	52.05743111	110.9715514	56.10939825	42.50250691	151.5268556	352.625835	168.5546091	2.393971191	8.872508654	22.05042365	10.1133055
1112	South Caspian Basin	onshore	11120102	Lower Kura Depression and Adjacent Shelf	gas	4.4	BCFG	30	1	NA	NA	NA	NA	335.9679799	1167.207968	2408.22564	1243.452965	11.22450491	39.91727975	87.94296003	43.51777664
1112	South Caspian Basin	offshore	11120102	Lower Kura Depression and Adjacent Shelf	oil	95.6	MMBO	5	1	328.3547395	1131.066003	2411.109161	1219.104198	923.4635593	3292.265317	7661.597687	3662.231962	52.01446498	192.7754153	479.0955685	219.7345469
1112	South Caspian Basin	offshore	11120102	Lower Kura Depression and Adjacent Shelf	gas	95.6	BCFG	30	1	NA	NA	NA	NA	7299.667927	25360.24584	52324.17526	27016.8417	243.8778794	867.2936238	1910.760677	945.5226015
1112	South Caspian Basin	onshore	11120103	Gograndag-Okarem Zone and Adjacent Shelf	oil	14.5	MMBO	5	1	181.3993102	649.3562234	1339.671027	690.7301855	678.0965649	2518.221788	5667.189478	2759.802083	38.00512943	146.9312592	356.8261965	165.5695833
