Assessment Unit Code	Asssement Unit Name	Field Type 	Estimated Mean Number of Undiscovered Fields	Units for Minimum  Field Size	Minimum Field Size	Percent of Fields in 0.5 to 1 MMBOE	Percent of Fields in 1 to 2 MMBOE	Percent of Fields in 2 to 4 MMBOE	Percent of Fields in 4 to 8 MMBOE	Percent of Fields in 8 to 16 MMBOE	Percent of Fields in 16 to 32 MMBOE	Percent of Fields in 32 to 64 MMBOE	Percent of Fields in 64 to 128 MMBOE	Percent of Fields in 128 to 256 MMBOE	Percent of Fields in 256 to 512 MMBOE	"Percent of Fields in 512 to 1,024 MMBOE"	"Percent of Fields in 1,024 to 2,048 MMBOE"	"Percent of Fields in 2,048 to 4,096 MMBOE"	"Percent of Fields in 4,096 to 8,192 MMBOE"	"Percent of Fields in 8,192 to 16,384 MMBOE"	"Percent of Fields in 16,384 to 32,768 MMBOE"	"Percent of Fields in 32,768 to 65,536 MMBOE"	"Percent of Fields in >65,536 MMBOE"																				
10500102	South Barents and Ludlov Saddle	 gas	129.5	 BCFG	120	0.00	0.00	0.00	0.00	0.00	22.92	25.85	18.98	13.56	8.90	5.23	2.71	1.24	0.49	0.14	0.00	0.00	0.00
10500103	North Barents	 oil	2.8	 MMBO	20	0.00	0.00	0.00	0.00	0.00	42.16	41.06	12.96	3.22	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10500103	North Barents	 gas	61.2	 BCFG	120	0.00	0.00	0.00	0.00	0.00	24.34	29.01	19.99	12.95	7.50	3.79	1.65	0.61	0.16	0.00	0.00	0.00	0.00
11080101	Tertiary Foredeep	 oil	30.5	 MMBO	2	0.00	0.00	38.28	31.33	17.68	8.33	3.20	0.98	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11080101	Tertiary Foredeep	 gas	35.8	 BCFG	12	0.00	0.00	19.17	33.87	26.01	13.86	5.34	1.49	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11080102	Foreland Slope	 oil	5.1	 MMBO	2	0.00	0.00	38.28	31.33	17.68	8.33	3.20	0.98	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11080102	Foreland Slope	 gas	62.1	 BCFG	12	0.00	0.00	20.74	27.78	22.83	15.19	8.24	3.61	1.27	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11080103	Subsalt Jurassic	 oil	5.4	 MMBO	7	0.00	0.00	0.00	8.68	60.44	22.31	6.70	1.63	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11080103	Subsalt Jurassic	 gas	12.4	 BCFG	42	0.00	0.00	0.00	3.73	44.08	29.51	14.62	5.81	1.82	0.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11090101	Foldbelt-Foothills	 oil	26.1	 MMBO	7	0.00	0.00	0.00	0.02	6.75	23.49	30.42	23.26	11.49	3.75	0.81	0.03	0.00	0.00	0.00	0.00	0.00	0.00
11090101	Foldbelt-Foothills	 gas	20.7	 BCFG	42	0.00	0.00	0.00	0.00	5.10	23.46	33.08	24.47	10.66	2.82	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11090102	Terek-Sunzha Subsalt Jurassic	 oil	4.6	 MMBO	20	0.00	0.00	0.00	0.00	0.00	13.25	54.76	26.13	5.35	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11090102	Terek-Sunzha Subsalt Jurassic	 gas	17.7	 BCFG	120	0.00	0.00	0.00	0.00	0.00	8.41	39.26	32.70	14.74	4.16	0.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11090103	Foreland Slope and Foredeep	 oil	30.8	 MMBO	7	0.00	0.00	0.00	4.45	68.91	22.30	3.94	0.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11090103	Foreland Slope and Foredeep	 gas	14	 BCFG	42	0.00	0.00	0.00	3.09	75.70	19.22	1.97	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11090201	South Mangyshlak (Entire)	 oil	31.7	 MMBO	3	0.00	0.00	3.15	27.82	31.30	21.70	10.85	3.97	1.06	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11090201	South Mangyshlak (Entire)	 gas	12.7	 BCFG	18	0.00	0.00	1.16	27.02	38.40	23.31	8.20	1.76	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11090301	Offshore Prikumsk Zone	 oil	22.8	 MMBO	10	0.00	0.00	0.00	0.00	35.50	36.32	17.35	7.34	2.61	0.76	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11090301	Offshore Prikumsk Zone	 gas	14.5	 BCFG	60	0.00	0.00	0.00	0.00	31.00	46.91	17.13	4.24	0.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11090302	Onshore Stavropol-Prikumsk	 oil	31.1	 MMBO	3	0.00	0.00	7.38	51.90	29.91	8.99	1.70	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11090302	Onshore Stavropol-Prikumsk	 gas	15.6	 BCFG	18	0.00	0.00	24.90	56.70	15.16	2.91	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11090303	Central Caspian Offshore	 oil	13.7	 MMBO	10	0.00	0.00	0.00	0.00	27.51	54.77	15.39	2.22	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11090303	Central Caspian Offshore	 gas	18.8	 BCFG	60	0.00	0.00	0.00	0.00	3.54	52.21	37.55	6.42	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11120101	Apsheron-Pribalkhan Zone	 oil	31.4	 MMBO	5	0.00	0.00	0.00	4.40	16.69	21.80	21.33	16.72	10.59	5.40	2.21	0.72	0.14	0.00	0.00	0.00	0.00	0.00
11120101	Apsheron-Pribalkhan Zone	 gas	10.8	 BCFG	30	0.00	0.00	0.00	3.57	18.82	26.12	23.78	15.89	7.94	2.97	0.83	0.10	0.00	0.00	0.00	0.00	0.00	0.00
11120102	Lower Kura Depression and Adjacent Shelf	 oil	20.3	 MMBO	5	0.00	0.00	0.00	5.47	21.32	25.59	21.87	14.41	7.37	2.93	0.90	0.16	0.00	0.00	0.00	0.00	0.00	0.00
11120102	Lower Kura Depression and Adjacent Shelf	 gas	40.5	 BCFG	30	0.00	0.00	0.00	5.11	16.50	20.52	20.14	16.36	11.02	6.14	2.82	1.06	0.33	0.00	0.00	0.00	0.00	0.00
11120103	Gograndag-Okarem Zone and Adjacent Shelf	 oil	50.5	 MMBO	5	0.00	0.00	0.00	9.84	21.04	21.04	18.10	13.47	8.60	4.67	2.15	0.83	0.27	0.00	0.00	0.00	0.00	0.00
