Assessment Unit Code	Assessment Unit Name	Field Type	Units for Minimum Field Size	Minimum Field Size	Assessment Unit Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)	Units for Largest	Largest F95	Largest F50	Largest F5	Largest Mean
11080101	Tertiary Foredeep	oil	MMBO	2	1	89.29274038	266.3043104	511.5401414	279.7700618	107.7985165	380.6603849	1026.696744	450.2390273	6.072070412	22.31839436	63.90635704	27.03769256	MMBO	16.42984413	44.88567248	131.272163	55.018783
11080101	Tertiary Foredeep	gas	BCFG	12	1	NA	NA	NA	NA	953.6181118	2599.934311	4706.767472	2688.281603	13.8147856	38.79336137	79.57858682	41.79392946	BCFG	153.5191272	358.3283614	877.7779134	412.7543428
11080102	Foreland Slope	oil	MMBO	2	1	11.28488788	38.84271858	115.4772521	47.75288932	12.83414724	45.89219795	142.7860635	57.41895111	0.717981584	2.684070572	8.722882165	3.43919848	MMBO	4.789096099	15.8202554	69.6579557	23.48501499
11080102	Foreland Slope	gas	BCFG	12	1	NA	NA	NA	NA	2728.52348	6500.575336	11979.81549	6836.533061	24.12716752	64.25477752	147.8954018	72.19400289	BCFG	359.0847163	910.0831354	2324.38803	1060.53968
11080103	Subsalt Jurassic	oil	MMBO	7	1	25.58638417	79.33822381	189.7432254	89.85383874	34.9543116	117.0697752	309.7900689	137.4293019	1.934348845	6.824070174	19.30165261	8.233319458	MMBO	11.38664344	25.84517009	82.83028879	33.55618194
11080103	Subsalt Jurassic	gas	BCFG	42	1	NA	NA	NA	NA	626.5691098	1901.99347	4134.107398	2081.63278	17.4424923	55.69029185	130.8606242	62.54679976	BCFG	166.480569	467.2581713	1565.210904	607.2690939
11090101	Foldbelt-Foothills	oil	MMBO	7	1	1099.7578	2000.286044	3415.131834	2094.114226	2685.855226	5049.912742	9012.112576	5349.664519	158.9148082	301.9030924	546.9280446	320.9668653	MMBO	154.9793801	326.8989302	777.1094765	375.1791716
11090101	Foldbelt-Foothills	gas	BCFG	42	1	NA	NA	NA	NA	4718.483498	8809.572829	14843.01605	9161.841634	134.1079245	260.9434681	462.9921766	274.8462954	BCFG	739.0961224	1510.873863	3428.483313	1710.348717
11090102	Terek-Sunzha Subsalt Jurassic	oil	MMBO	20	0.85	0	264.4456338	633.4380831	282.761841	0	1290.637439	3270.478508	1412.855891	0	77.04475275	197.6787368	84.77426356	MMBO	48.10471546	95.91305514	219.0327899	109.4256489
11090102	Terek-Sunzha Subsalt Jurassic	gas	BCFG	120	0.85	NA	NA	NA	NA	0	10488.11398	18245.16872	10051.14865	0	619.8081755	1139.47223	603.2971667	BCFG	910.3052102	1804.238906	4109.65453	2053.579665
11090103	Foreland Slope and Foredeep	oil	MMBO	7	1	239.2236514	426.2460772	748.2478552	452.0338039	337.7134511	633.3464542	1164.401351	677.7636243	19.98025763	37.89700409	70.6508236	40.67925708	MMBO	23.0791071	39.4870371	76.81533828	43.12168944
11090103	Foreland Slope and Foredeep	gas	BCFG	42	1	NA	NA	NA	NA	495.2974567	1046.618438	2018.390731	1126.041293	9.565182011	21.17995229	43.41433016	23.14620506	BCFG	91.59640231	149.0300945	282.0466752	162.1399449
11090201	South Mangyshlak (Entire)	oil	MMBO	3	1	303.829419	614.5458854	1121.299476	651.2886766	375.2670219	897.606619	2052.522026	1014.337122	14.65072725	35.79848427	83.18748182	40.56558525	MMBO	42.34838455	97.39357205	245.8606677	113.6333342
11090201	South Mangyshlak (Entire)	gas	BCFG	18	1	NA	NA	NA	NA	521.1838647	1166.056505	2247.039085	1247.678916	12.29289653	28.67341186	58.6069954	31.20200768	BCFG	117.6496941	251.5406682	620.1576073	292.6310551
11090301	Offshore Prikumsk Zone	oil	MMBO	10	0.9025	0	794.232336	1418.500636	789.0716047	0	1544.568665	3047.818315	1579.630877	0	92.23669339	184.0469433	94.78811456	MMBO	59.3714258	145.5757584	440.4889244	181.7982621
11090301	Offshore Prikumsk Zone	gas	BCFG	60	0.9025	NA	NA	NA	NA	0	2215.351033	4707.545598	2330.18151	0	42.92432178	100.1733514	46.54574527	BCFG	195.3171895	402.9279551	971.2300457	464.8391885
11090302	Onshore Stavropol-Prikumsk	oil	MMBO	3	1	184.7768407	277.3463618	421.4845878	287.2320035	309.553617	546.8922427	928.5819171	573.7439507	18.36434388	32.73262771	56.2765556	34.44563612	MMBO	16.77494021	29.95760186	60.67470692	33.0079029
11090302	Onshore Stavropol-Prikumsk	gas	BCFG	18	1	NA	NA	NA	NA	368.2674773	567.2610192	882.0186744	588.8470769	3.124587676	5.580255217	9.658263395	5.884451226	BCFG	47.89567334	85.68003043	193.1286029	97.99430171
11090303	Central Caspian Offshore	oil	MMBO	10	0.72	0	359.7187764	711.405454	330.6224029	0	693.015225	1522.681811	660.7149284	0	41.35410027	92.13388795	39.6524877	MMBO	32.98691505	55.46008043	107.8489351	60.79777124
11090303	Central Caspian Offshore	gas	BCFG	60	0.72	NA	NA	NA	NA	0	4450.869526	7969.435238	3910.934447	0	28.07883906	72.73241925	28.86400721	BCFG	322.1488942	489.5499124	810.4937495	516.663225
11120101	Apsheron-Pribalkhan Zone	oil	MMBO	5	1	891.5867593	2839.171916	6096.870833	3090.68002	988.9236673	3307.705968	7805.246118	3710.424056	55.41169554	192.9357178	490.9231114	222.3415973	MMBO	192.6180787	602.1856339	1953.252759	765.076148
11120101	Apsheron-Pribalkhan Zone	gas	BCFG	30	1	NA	NA	NA	NA	961.2311707	3604.404445	9529.3494	4197.158301	17.99077368	70.33003055	197.0658821	84.0820147	BCFG	336.8455791	1127.166083	3995.558079	1489.226557
11120102	Lower Kura Depression and Adjacent Shelf	oil	MMBO	5	1	343.4673007	1183.123434	2522.080713	1275.213597	965.9660662	3443.792172	8014.223522	3830.786571	54.40843617	201.647924	501.1459921	229.8478524	MMBO	89.71621929	274.296203	888.1758698	348.3527442
11120102	Lower Kura Depression and Adjacent Shelf	gas	BCFG	30	1	NA	NA	NA	NA	7635.635907	26527.45381	54732.4009	28260.29466	255.1023843	907.2109035	1998.703637	989.0403781	BCFG	1639.045463	5306.170131	16979.57884	6691.502649
11120103	Gograndag-Okarem Zone and Adjacent Shelf	oil	MMBO	5	1	1251.029725	4478.318782	9239.110534	4763.656451	4676.528034	17367.04682	39084.06537	19033.11781	262.1043409	1013.319029	2460.870321	1141.859195	MMBO	256.4251193	875.545252	2824.37003	1106.029819
11120103	Gograndag-Okarem Zone and Adjacent Shelf	gas	BCFG	30	1	NA	NA	NA	NA	7463.071967	26744.45079	55133.4726	28482.04471	305.6723034	1143.480467	2570.644641	1253.820826	BCFG	1524.458083	5195.794415	16676.78616	6577.738884
