Province Code	Province Name	Onshore or Offshore	Assessment Unit Code	Assessment Unit Name	Field Type	Percent of Assessed Volume Allocated to this Area	Units for Minimum Field Size	Minimum Field Size	Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
1108	Azov-Kuban Basin	onshore	NA	onshore total	oil	NA	NA	NA	1	105.9052041	318.8789511	649.8735826	341.5070093	131.9190772	459.4737915	1233.30379	542.419307	7.39617618	26.8994659	76.78542077	32.55372392
1108	Azov-Kuban Basin	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	2205.374026	5906.128968	11450.65629	6258.651746	35.38612724	104.9589081	237.075307	116.5763885
1108	Azov-Kuban Basin	offshore	NA	offshore total	oil	NA	NA	NA	1	20.25880828	65.60630178	166.8870363	75.86978053	23.66789815	84.14856663	245.9690863	102.6679734	1.328224661	4.927069206	15.14547105	6.156486583
1108	Azov-Kuban Basin	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	2103.336675	5096.374149	9370.034078	5347.795698	19.99831817	53.77952267	121.2593058	59.95834363
1108	Azov-Kuban Basin	NA	NA	total	oil	NA	NA	NA	1	126.1640124	384.4852528	816.7606189	417.3767899	155.5869754	543.6223581	1479.272876	645.0872803	8.724400841	31.82653511	91.93089182	38.7102105
1108	Azov-Kuban Basin	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	4308.710701	11002.50312	20820.69036	11606.44744	55.38444541	158.7384307	358.3346128	176.5347321
1109	Middle Caspian Basin	onshore	NA	onshore total	oil	NA	NA	NA	1	1005.124127	2053.371504	3676.706643	2159.091227	2019.642674	5128.669316	10273.017	5502.534294	116.523781	299.4084564	606.0131157	322.0595256
1109	Middle Caspian Basin	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	4646.229808	19192.19383	33101.35835	19138.53517	121.0193692	858.2146415	1568.798559	855.3114493
1109	Middle Caspian Basin	offshore	NA	offshore total	oil	NA	NA	NA	1	822.4635832	2683.44961	4792.801283	2728.033332	1688.746643	5527.31007	10725.5795	5766.176619	95.38635592	319.5582985	624.8893579	333.812684
1109	Middle Caspian Basin	offshore	NA	offshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	1457.002488	9551.649495	17811.25574	9278.138357	38.07122153	148.9737822	318.251207	158.4744292
1109	Middle Caspian Basin	NA	NA	total	oil	NA	NA	NA	1	1827.587711	4736.821114	8469.507926	4887.124559	3708.389316	10655.97939	20998.5965	11268.71091	211.9101369	618.9667549	1230.902474	655.8722095
1109	Middle Caspian Basin	NA	NA	total	gas	NA	NA	NA	1	NA	NA	NA	NA	6103.232297	28743.84333	50912.61409	28416.67352	159.0905907	1007.188424	1887.049766	1013.785878
1112	South Caspian Basin	onshore	NA	onshore total	oil	NA	NA	NA	1	241.0912094	857.4797428	1807.849699	919.9086425	770.0452552	2889.800281	6626.482209	3188.133434	43.16968539	168.6335775	416.7628271	191.2582365
1112	South Caspian Basin	onshore	NA	onshore total	gas	NA	NA	NA	1	NA	NA	NA	NA	1446.95035	5338.904227	11251.91537	5721.03664	56.08671211	215.7333557	492.4509658	237.6104091
1112	South Caspian Basin	offshore	NA	offshore total	oil	NA	NA	NA	1	3780.567848	13752.97077	29255.53303	14804.96808	11682.38336	44917.37464	104139.7615	49768.14019	654.965606	2618.068026	6547.845248	2983.309903
