Assessment Unit Code	Assessment Unit Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)
10150201	Permian Reefs/Thrust Folds	Gas	106	-41	65	571	2067	2638	3	2	5	204	305	509	42	1547	93	392	106	4185	98	901	61	63	5	56	1	3615	95	698
10160101	North and West Margins Subsalt Pinnacle Reefs	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1522	30544	1737	8349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10160102	North and West Margins Subsalt Barrier Reefs	Oil	0	134	134	8	1262	1270	0	0	0	1	344	346	637	4271	107	1456	771	5540	107	1802	17	23	0	19	771	5533	107	1800
10160103	East and Southeast Margins Subsalt	Oil	131	1086	1217	0	5364	5364	0	265	265	131	2245	2376	2196	6781	385	3711	3414	12145	650	6088	36	44	41	39	3283	12145	650	5956
10160104	South Margin Subsalt	Oil	0	6245	6245	428	97672	98100	0	3400	3400	71	25924	25995	15467	67521	2802	29522	21712	165621	6202	55517	29	59	55	47	21712	165193	6202	55446
10160105	Basin Center Subsalt	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10160106	Suprasalt	Oil	690	1140	1830	131	1496	1628	0	15	15	712	1404	2116	3497	9934	382	5535	5327	11562	397	7651	34	14	4	28	4637	11430	396	6938
10500101	Kolguyev Terrace	Gas	0	51	51	0	3	3	0	0	0	0	52	52	563	17554	731	4219	614	17556	731	4271	8	0	0	1	614	17556	731	4271
10500102	South Barents and Ludlov Saddle	Gas	0	0	0	0	78140	78140	0	100	100	0	13123	13123	257	189244	3940	35738	257	267384	4040	48861	0	29	2	27	257	267384	4040	48861
10500103	North Barents	Gas	0	0	0	0	0	0	0	0	0	0	0	0	135	59820	1250	11355	135	59820	1250	11355	0	0	0	0	135	59820	1250	11355
11080101	Tertiary Foredeep	Oil	1268	-770	498	945	2999	3944	1	0	2	1427	-270	1157	280	3139	69	872	778	7083	71	2029	64	56	2	57	-490	6137	69	602
