Assessment Unit Code	Assessment Unit Name	Field Type	Resource Type	Units for Minimum Field Size	Minimum Field Size	Assessment Unit Probability	Units for Fractiles	F100	F95	F90	F85	F80	F75	F70	F65	F60	F55	F50	F45	F40	F35	F30	F25	F20	F15	F10	F5	F0
60900103	Eastern	gas	largest	BCFG	24	1	BCFG	35.92653162	196.852967	246.5948779	288.8015375	326.1198224	362.7724091	399.5670883	437.7169133	476.4831575	517.4924284	562.1497329	610.9956081	666.4913771	730.7857792	804.7924016	894.0629674	1008.863744	1160.720526	1390.647211	1797.695701	3498.799486
60900104	La Luna and Older	oil	oil	MMBO	4	1	MMBO	11.85717692	76.17926319	102.1861701	120.9268479	137.4002641	152.1950316	166.022901	179.5071387	192.6272724	205.5205424	219.0673266	233.240367	248.0865939	262.8145291	279.5319954	297.6500791	317.7380309	341.7344673	373.4021048	423.0436069	843.235981
60900104	La Luna and Older	oil	gas	MMBO	4	1	BCFG	7.174556974	69.15538444	91.89298478	110.6455613	126.1554435	141.2681894	155.6008114	169.9232904	184.5104124	199.8262649	215.4713249	232.1322217	249.7897818	269.2546363	290.5113468	315.5233965	345.1810309	382.5399366	433.0413859	517.2561733	1267.212326
60900104	La Luna and Older	oil	NGL	MMBO	4	1	MMBNGL	0.389511879	3.852021834	5.169115556	6.227040484	7.162471989	8.045420944	8.939402037	9.822791576	10.67950871	11.58673134	12.55076346	13.58449069	14.74525075	15.98560482	17.35136302	18.99647495	20.84612825	23.30966412	26.67586189	32.44895163	88.09453027
60900104	La Luna and Older	oil	largest	MMBO	4	1	MMBO	6.191642795	17.91576645	21.71370007	24.72987481	27.39691338	29.93228591	32.46904566	34.9830849	37.58989316	40.46202584	43.40826471	46.65102366	50.24790623	54.49888762	59.14544689	64.90345618	72.16902571	81.43053436	95.43467668	119.6281672	199.88513
60900104	La Luna and Older	gas	gas	BCFG	24	1	BCFG	24.34647606	35.09380649	46.79645481	60.81098342	69.78548689	77.82070089	86.08657048	94.55813827	103.2128826	112.7430128	122.554394	133.3600489	145.2659184	158.1194608	173.6141002	192.0998842	215.4544305	246.6010504	292.4720757	381.4424375	1441.129142
60900104	La Luna and Older	gas	liquids	BCFG	24	1	MMBL	0.531712596	1.366954628	1.801936211	2.2289681	2.62201453	2.982838651	3.308886181	3.656923751	4.02161565	4.387743368	4.797800866	5.24185203	5.736525908	6.291255767	6.917372512	7.689551744	8.68811736	10.01538843	11.97095058	15.62896525	71.61300503
60900104	La Luna and Older	gas	largest	BCFG	24	1	BCFG	24.34647606	32.19609138	36.6263785	40.53952604	44.36865746	48.31131651	52.54779404	57.00563145	61.67562484	67.06067071	73.00401248	79.6229946	87.44667828	96.33138476	107.2477976	120.4360888	138.4143369	162.9446754	201.5919376	278.5720815	999.3166748
60960101	Central	oil	oil	MMBO	1	1	MMBO	34.35576307	272.7053397	378.9567217	471.5710183	558.5318389	644.8525341	731.0920692	818.4981511	912.9580737	1009.94609	1112.640448	1225.672729	1340.909702	1469.556922	1614.747248	1780.258917	1973.085518	2215.144801	2514.801582	3031.930144	7594.374528
60960101	Central	oil	gas	MMBO	1	1	BCFG	19.12345205	250.4915994	355.0881409	442.6414957	528.4664672	616.0102964	705.6012251	795.2442522	891.0316953	992.1251592	1101.439449	1217.012196	1349.738315	1495.195134	1657.374791	1853.006803	2088.629505	2375.717613	2792.192093	3458.141066	10734.96598
60960101	Central	oil	NGL	MMBO	1	1	MMBNGL	1.072701593	14.13478735	20.14936826	25.41627927	30.35794089	35.32896809	40.55678171	46.08286965	51.88028977	57.94744586	64.42687574	71.75407813	79.81349882	88.82544265	98.96181468	110.9421936	125.2553028	143.6797187	170.1050679	214.5791026	793.2859255
60960101	Central	oil	largest	MMBO	1	1	MMBO	5.666677856	64.31631504	90.73583263	113.8935652	136.0761161	158.6764755	182.0313671	207.264727	234.4264188	262.8580302	294.9687712	332.4421536	374.4625721	423.5416593	483.1982738	556.8452134	651.1523793	779.1232896	966.0298182	1281.406553	1999.928542
60960101	Central	gas	gas	BCFG	6	1	BCFG	7.467435492	100.1391532	156.7363181	204.7278965	256.0901655	305.780306	358.098406	412.5668774	469.2062694	531.9999719	596.2690669	667.5551466	743.9894099	833.8310568	935.3096514	1054.710659	1201.934911	1400.531242	1679.595029	2195.136234	8233.667306
60960101	Central	gas	liquids	BCFG	6	1	MMBL	0.259569747	4.361579556	6.768018268	8.926378388	11.10655774	13.342297	15.63840241	18.02399313	20.57788764	23.25898027	26.1947786	29.41981291	32.90854555	36.95145198	41.59702925	47.24645751	54.01228151	63.1438324	76.68058166	100.2984961	435.622498
60960101	Central	gas	largest	BCFG	6	1	BCFG	7.467435492	61.55335753	88.92523226	114.173108	138.0389952	161.4576473	185.7148617	211.6038049	238.8277225	265.7163748	297.6825553	333.5771047	374.0056672	421.2741634	477.5986031	549.6121363	645.7621874	774.4536318	966.4915561	1360.549862	3998.755749
60960102	Peripheral	oil	oil	MMBO	1	1	MMBO	41.93967421	520.5709093	728.7552295	907.0718303	1071.84322	1227.475295	1392.553978	1552.721986	1719.025807	1890.474669	2067.016813	2252.791159	2454.685307	2674.006533	2903.233729	3153.861067	3450.626076	3796.634063	4257.261544	4969.292412	11610.42916
60960102	Peripheral	oil	gas	MMBO	1	1	BCFG	32.91280469	474.7950708	675.6878054	851.3333709	1016.869783	1178.57255	1342.139141	1503.937631	1676.761128	1851.840411	2038.633442	2247.442987	2468.504446	2707.614806	2968.322547	3271.479273	3650.946132	4119.190742	4778.645803	5861.064018	14804.39953
60960102	Peripheral	oil	NGL	MMBO	1	1	MMBNGL	1.466651874	26.60998498	38.39464977	48.61145952	58.23147492	67.60858103	77.07019103	86.56195575	97.11348848	107.9725429	119.3537694	131.8756053	144.990784	159.8611141	176.4334829	195.6853303	219.3269234	249.7948561	292.3430039	362.345506	1155.242054
60960102	Peripheral	oil	largest	MMBO	1	1	MMBO	8.529093063	105.796438	147.0684135	182.561517	216.6813286	250.4354103	285.0415384	319.2696996	356.9121793	396.7739191	440.8149814	489.4508049	544.9740303	607.4892803	677.7588838	767.2803228	876.346843	1020.010702	1212.301888	1499.635654	1999.922148
60960102	Peripheral	gas	gas	BCFG	6	1	BCFG	9.100690021	264.0434032	398.6597713	516.5322861	626.2042691	734.0188766	844.485902	958.9295598	1075.299742	1195.393777	1324.656115	1460.702221	1600.948679	1763.18447	1948.049173	2148.728033	2397.056162	2704.378947	3124.755421	3824.099099	10960.13193
60960102	Peripheral	gas	liquids	BCFG	6	1	MMBL	0.347633154	11.39284618	17.17210397	22.38531558	27.18592206	32.08240668	36.88672465	41.90129563	47.04085757	52.4969432	58.14072873	64.24077303	70.90129029	78.39416729	86.61136623	96.3141302	107.8217027	122.1390319	142.3508116	175.7979701	634.4698227
60960102	Peripheral	gas	largest	BCFG	6	1	BCFG	9.100690021	118.2809385	164.1020932	203.0766689	239.8134652	275.1589006	311.4070023	348.5543053	388.1332576	430.2964833	475.6570827	525.6589491	578.7868927	645.4027276	724.0854014	820.2830667	938.4850425	1100.957819	1345.404358	1815.982553	3996.515256
