Total Petroleum System Code	Total Petroleum System Name	Field Type	Total Petroleum System Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
201901	Cretaceous Thamama/Wasia	oil	1	2601.739327	8119.894626	18180.38255	8978.925397	2237.814195	7775.530058	19469.44985	8919.407959	115.909122	419.5880175	1118.334719	493.1852608
201901	Cretaceous Thamama/Wasia	gas	1	NA	NA	NA	NA	3009.237756	12055.82352	28242.69882	13391.19403	123.7715921	514.4323219	1311.089058	589.6387834
201902	Jurassic Hanifa/Diyab-Arab	oil	1	3585.056078	13129.32762	29848.71789	14478.1108	7365.082354	28075.3403	69538.09442	31913.50223	413.3205924	1640.324103	4361.711963	1913.492245
201902	Jurassic Hanifa/Diyab-Arab	gas	1	NA	NA	NA	NA	7254.231669	24196.18306	54296.01999	26601.51428	297.1030367	1031.504212	2513.695464	1169.549833
201903	Silurian Qusaiba	oil	1	2106.776108	11111.51276	31523.06432	13234.91324	5965.654168	32240.94638	98254.5448	39738.57077	338.0357092	1887.108113	6116.822848	2384.106648
201903	Silurian Qusaiba	gas	1	NA	NA	NA	NA	79210.23748	283542.4183	608215.3897	307152.9545	5697.734437	21283.10125	50333.41124	23762.47446
202101	Central Arabia Qusaiba Paleozoic	oil	1	7301.286075	18596.34181	32828.94081	19189.56927	10587.41694	27513.7932	51123.08887	28756.2169	586.4723265	1598.887589	3281.020643	1723.18324
202101	Central Arabia Qusaiba Paleozoic	gas	1	NA	NA	NA	NA	141919.0408	345139.7361	599554.0755	354582.9506	8729.289905	21993.56324	39905.35124	22864.21807
202102	Arabian Sub-Basin Tuwaiq/Hanifa-Arab	oil	1	16991.7752	40828.77134	69390.05535	41703.33457	13257.62026	32782.48889	58994.18703	34046.02286	488.7899023	1272.811209	2545.37229	1361.603083
202102	Arabian Sub-Basin Tuwaiq/Hanifa-Arab	gas	1	NA	NA	NA	NA	0	0	0	0	0	0	0	0
202301	Paleozoic Qusaiba/Akkas/Abba/Mudawwara	oil	1	754.2399864	2438.239761	5140.703329	2632.240642	1101.694366	3615.152451	7943.325674	3948.055754	61.46450774	211.0126683	501.8126932	237.0589194
202301	Paleozoic Qusaiba/Akkas/Abba/Mudawwara	gas	1	NA	NA	NA	NA	19887.80255	58627.61455	106687.5522	60562.21356	1565.592285	4655.535045	8689.526691	4842.755778
202302	Jurassic Gotnia/Barsarin/Sargelu/Najmah	oil	1	2102.334893	6439.458586	11390.26488	6568.735247	1959.718075	6278.694348	12167.71751	6578.189693	109.4465413	364.8127412	780.0020188	394.7575045
202302	Jurassic Gotnia/Barsarin/Sargelu/Najmah	gas	1	NA	NA	NA	NA	4601.704797	15688.41528	30254.16469	16363.60429	189.2998602	667.2067987	1424.589301	719.2282142
203001	Zagros-Mesopotamian Cretaceous-Tertiary	oil	1	29465.49342	88862.35103	177872.0988	94515.63078	33644.14717	107365.8342	238342.1368	118035.8291	1168.766118	3952.834829	9502.878969	4463.64997
203001	Zagros-Mesopotamian Cretaceous-Tertiary	gas	1	NA	NA	NA	NA	25692.81641	74249.47104	150200.8047	79561.34346	1047.151873	3171.962276	7022.502137	3496.724072
203002	Paleozoic-Permian/Triassic	oil	1	0	0	0	0	0	0	0	0	0	0	0	0
203002	Paleozoic-Permian/Triassic	gas	1	NA	NA	NA	NA	20677.90095	64824.29052	131517.7629	69030.51537	838.672692	2763.258532	6137.687488	3039.145375
204301	Sirte-Zelten	oil	1	2600.333863	6148.043	12351.98629	6854.448463	1683.324404	4318.255257	15678.8648	6618.233441	99.91846684	258.1294034	945.8861121	397.3168767
204301	Sirte-Zelten	gas	1	NA	NA	NA	NA	2467.253288	5618.185114	18739.97189	8366.040726	70.78486347	166.1495007	575.502394	250.874782
204801	Bou Dabbous-Tertiary	oil	1	171.4762792	601.8707926	1368.892365	667.3600915	319.0706336	1169.428455	2897.804841	1335.206006	9.452603277	36.51758496	97.60850525	42.73406867
204801	Bou Dabbous-Tertiary	gas	1	NA	NA	NA	NA	363.1549204	1273.661192	2904.110332	1410.927739	5.296101094	18.85590176	44.74394619	21.16182379
204802	Jurassic-Cretaceous Composite	oil	1	95.85222271	363.3538659	840.7373563	403.0122083	179.7427046	703.1880879	1786.034244	806.5332184	2.606828233	10.42156487	27.37134298	12.09844023
204802	Jurassic-Cretaceous Composite	gas	1	NA	NA	NA	NA	293.5541994	1311.8538	3181.1656	1473.174864	2.782273421	12.70500128	33.53299725	14.71696808
205401	Tanezzuft-Oued Mya	oil	1	292.1751507	802.2161113	1450.036019	830.1979506	233.4261942	673.0456804	1354.516255	719.5618582	8.649100455	26.22301109	57.96808572	28.79640161
205401	Tanezzuft-Oued Mya	gas	1	NA	NA	NA	NA	268.8185835	1416.792027	3639.625302	1621.067755	12.76796115	68.50421042	191.9553867	81.15946273
205402	Tanezzuft-Melrhir	oil	1	348.3277373	1629.346248	4224.082145	1875.122822	449.9893644	2174.653983	6078.790861	2573.726012	16.87483696	84.06878763	252.4245777	103.1716464
205402	Tanezzuft-Melrhir	gas	1	NA	NA	NA	NA	495.1769566	2031.671717	5060.070849	2312.840988	33.34075728	142.0421473	382.4163727	166.2138231
205403	Tanezzuft-Ghadames	oil	1	989.9084621	3992.575971	9520.061604	4461.47636	1273.807589	5291.991543	13732.80276	6110.020195	47.98242625	206.0069261	575.7188661	244.3943915
205403	Tanezzuft-Ghadames	gas	1	NA	NA	NA	NA	1403.438224	5310.731842	12468.60089	5924.747882	147.9923418	575.5140457	1479.758066	664.0698332
205601	Tanezzuft-Illizi	oil	1	600.7847779	2520.389853	5999.911523	2814.155552	2654.669564	11443.91927	29734.28504	13235.36429	55.09041109	244.4765848	685.1275248	290.7858071
205601	Tanezzuft-Illizi	gas	1	NA	NA	NA	NA	5809.171936	14241.4546	24285.90354	14549.99389	213.4134095	550.5751469	1054.529938	581.7359845
205801	Tanezzuft-Timimoun	oil	1	6.538407977	24.7199654	79.52619883	31.47916618	23.87622741	90.27845628	306.7115377	118.0148375	1.357359847	5.29882221	18.87557204	7.088033653
205801	Tanezzuft-Timimoun	gas	1	NA	NA	NA	NA	386.6202343	919.6886543	1942.035764	1009.51065	16.89082741	42.98687996	98.11653904	48.44219331
205802	Tanezzuft-Ahnet	oil	1	6.449861027	25.15496169	89.09887198	33.61094928	3.446643933	13.60297634	49.94788609	18.50923193	0.197170564	0.800642596	3.081794529	1.110865579
