Province Code	Province Name	Field Type	Estimated Mean Number of Undiscovered Fields	Units for Minimum Field Size	Minimum Field Size	Percent of Fields in 0.5 to 1 MMBOE	Percent of Fields in 1 to 2 MMBOE	Percent of Fields in 2 to 4 MMBOE	Percent of Fields in 4 to 8 MMBOE	Percent of Fields in 8 to 16 MMBOE	Percent of Fields in 16 to 32 MMBOE	Percent of Fields in 32 to 64 MMBOE	Percent of Fields in 64 to 128 MMBOE	Percent of Fields in 128 to 256 MMBOE	Percent of Fields in 256 to 512 MMBOE	"Percent of Fields in 512 to 1,024 MMBOE"	"Percent of Fields in 1,024 to 2,048 MMBOE"	"Percent of Fields in 2,048 to 4,096 MMBOE"	"Percent of Fields in 4,096 to 8,192 MMBOE"	"Percent of Fields in 8,192 to 16,384 MMBOE"	"Percent of Fields in 16,384 to 32,768 MMBOE"	"Percent of Fields in 32,768 to 65,536 MMBOE"	"Percent of Fields in >65,536 MMBOE"																		
2017	Oman Mountains	oil	1	MMBO	1	0.00	5.29	15.66	21.75	22.02	17.23	10.54	5.04	1.88	0.54	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2017	Oman Mountains	gas	0	BCFG	6	0.00	26.98	30.31	21.50	12.43	5.84	2.20	0.66	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2019	Rub Al Khali Basin	oil	242	MMBO	1	0.00	0.02	0.05	1.76	16.54	24.39	20.33	15.19	10.17	6.04	3.17	1.47	0.59	0.20	0.06	0.01	0.00	0.00																		
2019	Rub Al Khali Basin	gas	267	BCFG	6	0.00	0.02	0.02	0.19	17.02	23.44	19.27	14.81	10.54	6.85	4.03	2.14	1.02	0.44	0.17	0.03	0.00	0.00																		
2020	Interior Homocline-Central Arch	oil	87	MMBO	5	0.00	0.00	0.00	1.51	3.62	10.31	23.99	23.92	18.09	10.85	5.15	1.93	0.55	0.07	0.00	0.00	0.00	0.00																		
2020	Interior Homocline-Central Arch	gas	100	BCFG	30	0.00	0.00	0.00	4.69	12.47	16.09	20.54	17.98	13.17	8.18	4.26	1.82	0.62	0.18	0.00	0.00	0.00	0.00																		
2021	Greater Ghawar Uplift	oil	57	MMBO	10	0.00	0.00	0.00	0.00	0.41	8.05	23.11	24.79	20.13	12.97	6.66	2.73	0.91	0.20	0.03	0.01	0.00	0.00																		
2021	Greater Ghawar Uplift 	gas	116	BCFG	60	0.00	0.00	0.00	0.00	0.06	6.69	20.44	23.27	20.46	14.60	8.48	3.99	1.51	0.46	0.04	0.00	0.00	0.00																		
2022	Qatar Arch	oil	39	MMBO	10	0.00	0.00	0.00	0.00	13.76	23.95	21.73	17.15	11.78	6.83	3.23	1.18	0.33	0.06	0.00	0.00	0.00	0.00																		
2022	Qatar Arch	gas	18	BCFG	60	0.00	0.00	0.00	0.00	20.33	30.92	21.55	13.21	7.37	3.77	1.74	0.74	0.25	0.09	0.03	0.00	0.00	0.00																		
2023	Widyan Basin-Interior Platform	oil	191	MMBO	5	0.00	0.00	0.00	4.59	16.66	21.06	22.07	16.44	10.16	5.37	2.41	0.89	0.28	0.06	0.01	0.00	0.00	0.00																		
2023	Widyan Basin-Interior Platform	gas	144	BCFG	30	0.00	0.00	0.00	7.97	23.39	22.99	18.77	12.61	7.51	3.95	1.83	0.70	0.21	0.06	0.00	0.00	0.00	0.00																		
2024	Mesopotamian Foredeep Basin	oil	165	MMBO	10	0.00	0.00	0.00	0.00	4.45	12.40	19.70	19.90	16.85	12.14	7.47	3.98	1.90	0.80	0.31	0.10	0.00	0.00																		
2024	Mesopotamian Foredeep Basin	gas	24	BCFG	60	0.00	0.00	0.00	0.00	1.21	17.11	32.28	23.91	14.13	7.03	2.96	1.02	0.29	0.06	0.00	0.00	0.00	0.00																		
2029	Wadi-Surhan Basin	oil	0	MMBO	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2029	Wadi-Surhan Basin	gas	23	BCFG	30	0.00	0.00	0.00	9.24	24.59	24.54	19.24	12.28	6.36	2.66	0.89	0.20	0.00	0.00	0.00	0.00	0.00	0.00																		
2030	Zagros Fold Belt	oil	140	MMBO	10	0.00	0.00	0.00	0.00	6.28	16.74	20.45	18.49	14.74	10.45	6.53	3.57	1.72	0.73	0.24	0.07	0.00	0.00																		
2030	Zagros Fold Belt	gas	138	BCFG	60	0.00	0.00	0.00	0.00	1.70	14.03	25.85	24.32	17.53	9.97	4.50	1.61	0.43	0.07	0.00	0.00	0.00	0.00																		
2043	Sirte Basin 	oil	126	MMBO	5	0.00	0.00	0.00	4.73	19.76	27.60	24.12	14.79	6.50	2.05	0.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2043	Sirte Basin 	gas	28	BCFG	30	0.00	0.00	0.00	4.98	23.10	29.74	22.15	12.47	5.37	1.76	0.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2048	Pelagian Basin	oil	78	MMBO	1	0.00	7.54	15.17	26.65	25.02	15.01	6.98	2.60	0.78	0.18	0.05	0.02	0.00	0.00	0.00	0.00	0.00	0.00																		
2048	Pelagian Basin	gas	49	BCFG	6	0.00	11.71	19.32	28.23	23.69	11.57	4.16	1.14	0.17	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2054	Trias Ghadames Basin	oil	130	MMBO	1	0.00	4.16	9.38	12.92	23.61	20.03	13.35	8.39	4.67	2.23	0.91	0.32	0.04	0.00	0.00	0.00	0.00	0.00																		
2054	Trias Ghadames Basin	gas	62	BCFG	6	0.00	2.60	11.04	18.68	26.62	21.58	12.01	5.26	1.76	0.44	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2056	Illizi Basin	oil	77	MMBO	1	0.00	0.16	0.36	0.49	20.76	41.70	23.61	9.45	2.81	0.63	0.03	0.01	0.00	0.00	0.00	0.00	0.00	0.00																		
2056	Illizi Basin	gas	47	BCFG	6	0.00	0.08	0.34	0.57	12.01	35.86	28.55	15.08	5.71	1.56	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2058	Grand Erg/Ahnet Basin	oil	29	MMBO	1	0.00	0.65	2.15	12.84	37.24	29.64	13.03	3.69	0.70	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2058	Grand Erg/Ahnet Basin	gas	55	BCFG	6	0.00	1.65	2.92	27.32	33.97	19.78	9.17	3.65	1.21	0.27	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2071	Red Sea Basin	oil	240	MMBO	1	0.00	6.28	16.20	20.72	23.87	16.85	9.43	4.38	1.67	0.50	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
2071	Red Sea Basin	gas	277	BCFG	6	0.00	9.96	14.81	16.27	22.70	16.48	9.96	5.51	2.68	1.13	0.41	0.11	0.00	0.00	0.00	0.00	0.00	0.00																		
3115	Junggar Basin	oil	23	MMBO	5	0.00	0.00	0.00	12.86	35.14	30.46	15.53	4.96	0.99	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3115	Junngar Basin	gas	10	BCFG	30	0.00	0.00	0.00	33.36	41.41	17.57	5.88	1.52	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3127	Bohaiwan Basin	oil	98	MMBO	5	0.00	0.00	0.00	9.22	25.65	26.27	20.25	11.76	5.01	1.54	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3127	Bohaiwan Basin	gas	41	BCFG	30	0.00	0.00	0.00	22.00	36.38	23.02	11.77	4.85	1.59	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3128	Ordos Basin	oil	22	MMBO	2	0.00	0.00	32.60	45.49	17.71	3.79	0.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3128	Ordos Basin	gas	0	BCFG	12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3142	Sichuan Basin	oil	11	MMBO	1	0.00	50.05	37.59	10.40	1.83	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3142	Sichuan Basin	gas	130	BCFG	6	0.00	10.39	21.12	27.54	20.50	11.98	5.62	2.11	0.64	0.09	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3144	Songliao Basin	oil	45	MMBO	5	0.00	0.00	0.00	3.68	36.91	41.19	15.57	2.54	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3144	Songliao Basin	gas	65	BCFG	30	0.00	0.00	0.00	28.12	48.68	17.83	4.49	0.81	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3154	Tarim Basin	oil	67	MMBO	10	0.00	0.00	0.00	0.00	8.41	27.12	27.35	19.75	10.91	4.62	1.49	0.35	0.00	0.00	0.00	0.00	0.00	0.00																		
3154	Tarim Basin	gas	85	BCFG	60	0.00	0.00	0.00	0.00	6.96	27.33	29.01	20.50	10.63	4.13	1.21	0.23	0.00	0.00	0.00	0.00	0.00	0.00																		
3701	Baram Delta/Brunei-Sabah Basin	oil	190	MMBO	1	0.00	22.17	19.84	17.60	16.09	11.52	7.00	3.59	1.54	0.54	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3701	Baram Delta/Brunei-Sabah Basin	gas	102	BCFG	6	0.00	14.09	18.17	18.94	18.50	13.92	8.78	4.63	2.03	0.74	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3702	Greater Sarawak Basin	oil	59	MMBO	1	0.00	12.66	25.39	25.57	19.58	10.67	4.42	1.40	0.29	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3702	Greater Sarawak Basin	gas	106	BCFG	6	0.00	7.08	10.87	14.52	24.37	20.27	12.95	6.49	2.54	0.77	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3703	Malay Basin	oil	47	MMBO	5	0.00	0.00	0.00	15.65	33.82	27.72	15.36	5.76	1.47	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3703	Malay Basin	gas	84	BCFG	30	0.00	0.00	0.00	6.05	27.62	29.34	20.35	10.69	4.34	1.32	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3808	Central Sumatra Basin	oil	87	MMBO	1	0.00	15.00	26.52	24.77	17.65	9.87	4.32	1.48	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3808	Central Sumatra Basin	gas	21	BCFG	6	0.00	0.48	5.49	16.44	26.01	25.66	16.54	7.06	2.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3817	Kutei Basin	oil	126	MMBO	1	0.00	12.54	13.73	15.69	17.95	14.98	11.07	7.19	4.02	1.89	0.70	0.21	0.04	0.00	0.00	0.00	0.00	0.00																		
3817	Kutei Basin	gas	158	BCFG	6	0.00	6.54	10.62	15.38	19.08	17.05	13.23	8.92	5.16	2.54	1.05	0.37	0.06	0.00	0.00	0.00	0.00	0.00																		
3822	North Sumatra Basin	oil	27	MMBO	1	0.00	22.60	25.92	24.44	16.65	7.06	2.50	0.69	0.14	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3822	North Sumatra Basin	gas	87	BCFG	6	0.00	4.15	11.43	20.64	23.77	18.46	11.75	6.10	2.58	0.89	0.20	0.02	0.00	0.00	0.00	0.00	0.00	0.00																		
3824	Northwest Java Basin	oil	68	MMBO	1	0.00	17.29	27.75	24.20	16.38	8.85	3.83	1.33	0.34	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3824	Northwest Java Basin	gas	65	BCFG	6	0.00	6.60	18.08	23.67	22.36	15.94	8.60	3.49	1.05	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3828	South Sumatra Basin	oil	53	MMBO	1	0.00	22.14	27.91	22.35	14.67	7.90	3.46	1.22	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3828	South Sumatra Basin	gas	103	BCFG	6	0.00	7.48	16.10	19.92	19.69	16.04	10.78	5.97	2.71	1.01	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3910	Bonaparte Gulf Basin	oil	33	MMBO	3	0.00	0.00	0.37	11.19	25.39	30.22	18.35	9.21	3.77	1.21	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3910	Bonaparte Gulf Basin	gas	61	BCFG	18	0.00	0.00	0.20	5.97	15.94	29.09	24.84	14.83	6.45	2.10	0.51	0.08	0.00	0.00	0.00	0.00	0.00	0.00																		
3913	Browse Basin	oil	14	MMBO	15	0.00	0.00	0.00	0.00	5.70	47.27	22.63	12.57	6.68	3.20	1.35	0.49	0.11	0.00	0.00	0.00	0.00	0.00																		
3913	Browse Basin	gas	30	BCFG	90	0.00	0.00	0.00	0.00	4.87	43.46	22.97	13.78	7.90	4.11	1.89	0.75	0.26	0.00	0.00	0.00	0.00	0.00																		
3930	Gippsland Basin	oil	32	MMBO	1	0.00	0.00	27.68	35.95	22.27	9.96	3.29	0.79	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3930	Gippsland Basin	gas	39	BCFG	6	0.00	0.00	15.00	26.52	24.77	17.65	9.87	4.32	1.48	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3948	Northwest Shelf	oil	84	MMBO	1	0.00	1.83	9.41	18.07	22.56	23.80	14.55	6.72	2.38	0.63	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00																		
3948	Northwest Shelf	gas	139	BCFG	6	0.00	0.27	2.33	7.00	14.85	26.45	21.02	14.90	8.26	3.51	1.15	0.26	0.01	0.00	0.00	0.00	0.00	0.00																		
4017	Vestford-Helgeland	oil	42	MMBO	10	0.00	0.00	0.00	0.00	0.71	9.57	23.87	28.67	21.50	10.90	3.80	0.91	0.08	0.00	0.00	0.00	0.00	0.00																		
